"Year","Month","Day","Generacion_MWh"
"2015",1,1,0.729166666666667
"2016",1,1,0
"2015",2,1,0.7125
"2016",2,1,0
"2015",3,1,0.775
"2016",3,1,0
"2015",4,1,0.7625
"2016",4,1,0.604166666666667
"2015",5,1,0.65
"2016",5,1,0.608333333333333
"2015",6,1,0.5875
"2016",6,1,0.305833333333333
"2015",7,1,0.479166666666667
"2016",7,1,0.505
"2014",8,1,0.591666666666667
"2015",8,1,0.595833333333333
"2016",8,1,0
"2014",9,1,0.6625
"2015",9,1,0.658333333333333
"2016",9,1,0
"2014",10,1,0.729166666666667
"2015",10,1,0.604166666666667
"2016",10,1,0
"2014",11,1,0.729166666666667
"2015",11,1,0.733333333333333
"2014",12,1,0.729166666666667
"2015",12,1,0.704166666666667
"2015",1,2,0.733333333333333
"2016",1,2,0
"2015",2,2,0.7125
"2016",2,2,0.733333333333333
"2015",3,2,0.775
"2016",3,2,0
"2015",4,2,0.729166666666667
"2016",4,2,0.604166666666667
"2015",5,2,0.641666666666667
"2016",5,2,0.608333333333333
"2015",6,2,0.591666666666667
"2016",6,2,0.168333333333333
"2015",7,2,0.458333333333333
"2016",7,2,0.505
"2014",8,2,0.591666666666667
"2015",8,2,0.0208333333333333
"2016",8,2,0
"2014",9,2,0.6625
"2015",9,2,0.658333333333333
"2016",9,2,0
"2014",10,2,0.6875
"2015",10,2,0.7
"2016",10,2,0
"2014",11,2,0.725
"2015",11,2,0.770833333333333
"2014",12,2,0.729166666666667
"2015",12,2,0.745833333333333
"2015",1,3,0.729166666666667
"2016",1,3,0
"2015",2,3,0.7125
"2016",2,3,0.729166666666667
"2015",3,3,0.683333333333333
"2016",3,3,0.695833333333333
"2015",4,3,0.729166666666667
"2016",4,3,0.604166666666667
"2015",5,3,0.116666666666667
"2016",5,3,0
"2015",6,3,0.558333333333333
"2016",6,3,0
"2015",7,3,0.5375
"2016",7,3,0.505
"2014",8,3,0.591666666666667
"2015",8,3,0.0208333333333333
"2016",8,3,0
"2014",9,3,0.6625
"2015",9,3,0.658333333333333
"2016",9,3,0
"2014",10,3,0.725
"2015",10,3,0.7
"2016",10,3,0
"2014",11,3,0.725
"2015",11,3,0.7875
"2014",12,3,0.729166666666667
"2015",12,3,0.733333333333333
"2015",1,4,0.620833333333333
"2016",1,4,0
"2015",2,4,0.725
"2016",2,4,0
"2015",3,4,0.783333333333333
"2016",3,4,0
"2015",4,4,0.729166666666667
"2016",4,4,0
"2015",5,4,0.641666666666667
"2016",5,4,0
"2015",6,4,0.554166666666667
"2016",6,4,0
"2015",7,4,0.554166666666667
"2016",7,4,0.505
"2014",8,4,0.6125
"2015",8,4,0.0208333333333333
"2016",8,4,0
"2014",9,4,0.6625
"2015",9,4,0.675
"2016",9,4,0
"2014",10,4,0.725
"2015",10,4,0.7
"2016",10,4,0
"2014",11,4,0.725
"2015",11,4,0
"2014",12,4,0.729166666666667
"2015",12,4,0.7375
"2015",1,5,0.729166666666667
"2016",1,5,0
"2015",2,5,0.720833333333333
"2016",2,5,0
"2015",3,5,0.75
"2016",3,5,0
"2015",4,5,0.729166666666667
"2016",4,5,0
"2015",5,5,0.641666666666667
"2016",5,5,0.0916666666666667
"2015",6,5,0.575
"2016",6,5,0
"2015",7,5,0.191666666666667
"2016",7,5,0.505
"2014",8,5,0.616666666666667
"2015",8,5,0.1
"2016",8,5,0
"2014",9,5,0.691666666666667
"2015",9,5,0.679166666666667
"2016",9,5,0
"2014",10,5,0.725
"2015",10,5,0.7
"2016",10,5,0
"2014",11,5,0.725
"2015",11,5,0
"2014",12,5,0.729166666666667
"2015",12,5,0.7375
"2015",1,6,0.729166666666667
"2016",1,6,0.725
"2015",2,6,0.720833333333333
"2016",2,6,0
"2015",3,6,0.75
"2016",3,6,0
"2015",4,6,0.75
"2016",4,6,0
"2015",5,6,0.625
"2016",5,6,0
"2015",6,6,0.575
"2016",6,6,0.459583333333333
"2015",7,6,0.2875
"2016",7,6,0.505
"2014",8,6,0.591666666666667
"2015",8,6,0.1
"2016",8,6,0
"2014",9,6,0.683333333333333
"2015",9,6,0.575
"2016",9,6,0
"2014",10,6,0.729166666666667
"2015",10,6,0.654166666666667
"2016",10,6,0
"2014",11,6,0.716666666666667
"2015",11,6,0.7625
"2014",12,6,0.729166666666667
"2015",12,6,0.7375
"2015",1,7,0.725
"2016",1,7,0.720833333333333
"2015",2,7,0.766666666666667
"2016",2,7,0
"2015",3,7,0.75
"2016",3,7,0.695833333333333
"2015",4,7,0.741666666666667
"2016",4,7,0
"2015",5,7,0.508333333333333
"2016",5,7,0
"2015",6,7,0.575
"2016",6,7,0.553333333333333
"2015",7,7,0.566666666666667
"2016",7,7,0.505
"2014",8,7,0.591666666666667
"2015",8,7,0.1
"2016",8,7,0
"2014",9,7,0.675
"2015",9,7,0
"2016",9,7,0
"2014",10,7,0.725
"2015",10,7,0.7
"2016",10,7,0
"2014",11,7,0.629166666666667
"2015",11,7,0.7625
"2014",12,7,0.7125
"2015",12,7,0.7375
"2015",1,8,0.725
"2016",1,8,0.729166666666667
"2015",2,8,0.716666666666667
"2016",2,8,0
"2015",3,8,0.75
"2016",3,8,0.695833333333333
"2015",4,8,0.7375
"2016",4,8,0
"2015",5,8,0.6375
"2016",5,8,0
"2015",6,8,0.570833333333333
"2016",6,8,0.505
"2015",7,8,0.558333333333333
"2016",7,8,0.505
"2014",8,8,0.520833333333333
"2015",8,8,0.1
"2016",8,8,0
"2014",9,8,0.679166666666667
"2015",9,8,0
"2016",9,8,0
"2014",10,8,0.729166666666667
"2015",10,8,0
"2016",10,8,0
"2014",11,8,0.720833333333333
"2015",11,8,0.754166666666667
"2014",12,8,0.729166666666667
"2015",12,8,0.733333333333333
"2015",1,9,0.729166666666667
"2016",1,9,0.733333333333333
"2015",2,9,0.755416666666667
"2016",2,9,0.725
"2015",3,9,0.766666666666667
"2016",3,9,0.695833333333333
"2015",4,9,0.125
"2016",4,9,0
"2015",5,9,0.5625
"2016",5,9,0
"2015",6,9,0.570833333333333
"2016",6,9,0.505
"2014",7,9,0.583333333333333
"2015",7,9,0.366666666666667
"2016",7,9,0.505
"2014",8,9,0.6125
"2015",8,9,0.1
"2016",8,9,0
"2014",9,9,0.691666666666667
"2015",9,9,0.683333333333333
"2016",9,9,0
"2014",10,9,0.729166666666667
"2015",10,9,0.695833333333333
"2016",10,9,0
"2014",11,9,0.720833333333333
"2015",11,9,0.766666666666667
"2014",12,9,0.729166666666667
"2015",12,9,0.741666666666667
"2015",1,10,0.658333333333333
"2016",1,10,0.733333333333333
"2015",2,10,0.775
"2016",2,10,0.7125
"2015",3,10,0.7625
