"Year","Month","Day","Generacion_MWh"
"2015",1,1,28.4066666666667
"2016",1,1,27.1354166666667
"2015",2,1,26.2783333333333
"2016",2,1,26.895
"2015",3,1,24.7895833333333
"2016",3,1,23.8441666666667
"2015",4,1,22.05125
"2016",4,1,21.8783333333333
"2015",5,1,19.03375
"2016",5,1,18.9108333333333
"2015",6,1,17.5125
"2016",6,1,16.8791666666667
"2015",7,1,13.0675
"2016",7,1,15.8758333333333
"2015",8,1,19.3075
"2016",8,1,18.3108333333333
"2015",9,1,21.8270833333333
"2016",9,1,22.3541666666667
"2015",10,1,25.3208333333333
"2016",10,1,25.1229166666667
"2015",11,1,27.75
"2014",12,1,25.9770833333333
"2015",12,1,27.7691666666667
"2015",1,2,26.7508333333333
"2016",1,2,27.2554166666667
"2015",2,2,24.6625
"2016",2,2,26.4508333333333
"2015",3,2,25.02125
"2016",3,2,24.3216666666667
"2015",4,2,21.96875
"2016",4,2,19.3304166666667
"2015",5,2,18.8579166666667
"2016",5,2,17.8141666666667
"2015",6,2,17.5270833333333
"2016",6,2,16.9583333333333
"2015",7,2,14.34125
"2016",7,2,13.7075
"2015",8,2,19.1583333333333
"2016",8,2,18.695
"2015",9,2,21.0404166666667
"2016",9,2,22.3616666666667
"2015",10,2,21.1529166666667
"2016",10,2,24.9679166666667
"2015",11,2,28.4416666666667
"2014",12,2,23.2804166666667
"2015",12,2,27.5441666666667
"2015",1,3,27.7220833333333
"2016",1,3,23.0370833333333
"2015",2,3,26.615
"2016",2,3,27.2541666666667
"2015",3,3,25.055
"2016",3,3,24.6966666666667
"2015",4,3,22.0133333333333
"2016",4,3,21.35375
"2015",5,3,18.9704166666667
"2016",5,3,18.9191666666667
"2015",6,3,17.2375
"2016",6,3,16.5595833333333
"2015",7,3,9.73083333333333
"2016",7,3,16.31875
"2015",8,3,19.33125
"2016",8,3,18.3604166666667
"2015",9,3,21.4195833333333
"2016",9,3,22.715
"2015",10,3,17.5966666666667
"2016",10,3,24.7375
"2015",11,3,28.4916666666667
"2014",12,3,25.5466666666667
"2015",12,3,27.83625
"2015",1,4,20.76125
"2016",1,4,28.4020833333333
"2015",2,4,26.69875
"2016",2,4,27.2291666666667
"2015",3,4,24.1708333333333
"2016",3,4,24.975
"2015",4,4,22.16
"2016",4,4,14.8379166666667
"2015",5,4,18.99875
"2016",5,4,16.6870833333333
"2015",6,4,17.0875
"2016",6,4,16.90875
"2015",7,4,16.3870833333333
"2016",7,4,7.41625
"2015",8,4,19.2225
"2016",8,4,18.4195833333333
"2015",9,4,21.4908333333333
"2016",9,4,23.3170833333333
"2015",10,4,25.1679166666667
"2016",10,4,24.8570833333333
"2015",11,4,28.275
"2015",12,4,27.7916666666667
"2015",1,5,15.7166666666667
"2016",1,5,27.6329166666667
"2015",2,5,24.6908333333333
"2016",2,5,26.9833333333333
"2015",3,5,23.9625
"2016",3,5,24.39875
"2015",4,5,21.4808333333333
"2016",4,5,17.9645833333333
"2015",5,5,19.4383333333333
"2016",5,5,14.97875
"2015",6,5,17.3108333333333
"2016",6,5,16.1425
"2015",7,5,14.74625
"2016",7,5,16.38375
"2015",8,5,14.1779166666667
"2016",8,5,18.7608333333333
"2015",9,5,22.0541666666667
"2016",9,5,23.0858333333333
"2015",10,5,25.2295833333333
"2016",10,5,24.6291666666667
"2015",11,5,27.7141666666667
"2015",12,5,28.2283333333333
"2015",1,6,27.3104166666667
"2016",1,6,27.02125
"2015",2,6,19.6025
"2016",2,6,26.3354166666667
"2015",3,6,24.1120833333333
"2016",3,6,24.4141666666667
"2015",4,6,18.3533333333333
"2016",4,6,19.6195833333333
"2015",5,6,19.2716666666667
"2016",5,6,17.41375
"2015",6,6,17.1979166666667
"2016",6,6,15.8716666666667
"2015",7,6,12.6791666666667
"2016",7,6,15.8933333333333
"2015",8,6,18.83125
"2016",8,6,15.375
"2015",9,6,20.20875
"2016",9,6,22.02125
"2015",10,6,25.8583333333333
"2016",10,6,26.0208333333333
"2015",11,6,27.58125
"2015",12,6,27.8570833333333
"2015",1,7,27.3216666666667
"2016",1,7,19.4295833333333
"2015",2,7,16.46375
"2016",2,7,16.4791666666667
"2015",3,7,23.65625
"2016",3,7,24.46625
"2015",4,7,19.6370833333333
"2016",4,7,20.7345833333333
"2015",5,7,13.6829166666667
"2016",5,7,12.7829166666667
"2015",6,7,17.0741666666667
"2016",6,7,17.0083333333333
"2015",7,7,17.1454166666667
"2016",7,7,8.25166666666667
"2015",8,7,18.62125
"2016",8,7,19.265
"2015",9,7,23.3025
"2016",9,7,23.2075
"2015",10,7,22.43375
"2016",10,7,25.6491666666667
"2015",11,7,27.7370833333333
"2015",12,7,27.67625
"2015",1,8,26.69
"2016",1,8,24.5904166666667
"2015",2,8,18.4308333333333
"2016",2,8,25.525
"2015",3,8,23.3466666666667
"2016",3,8,24.5825
"2015",4,8,21.3295833333333
"2016",4,8,19.7616666666667
"2015",5,8,18.6758333333333
"2016",5,8,10.2308333333333
"2015",6,8,16.6216666666667
"2016",6,8,16.3479166666667
"2015",7,8,17.2516666666667
"2016",7,8,14.01375
"2015",8,8,16.5891666666667
"2016",8,8,19.3779166666667
"2015",9,8,23.5375
"2016",9,8,23.0125
"2015",10,8,24.9583333333333
"2016",10,8,25.5183333333333
"2015",11,8,27.73375
"2015",12,8,28.535
"2015",1,9,25.3604166666667
"2016",1,9,27.6095833333333
"2015",2,9,16.7595833333333
"2016",2,9,25.4129166666667
"2015",3,9,23.0158333333333
"2016",3,9,24.1608333333333
"2015",4,9,19.58875
"2016",4,9,20.645
"2015",5,9,18.79625
"2016",5,9,16.4883333333333
"2015",6,9,16.6129166666667
"2016",6,9,12.8991666666667
"2015",7,9,17.0566666666667
"2016",7,9,16.2579166666667
"2015",8,9,5.09
"2016",8,9,19.7154166666667
"2015",9,9,23.58875
"2016",9,9,23.2141666666667
"2015",10,9,25.1166666666667
"2016",10,9,25.3383333333333
"2015",11,9,28.5020833333333
"2015",12,9,28.0929166666667
"2015",1,10,24.7145833333333
"2016",1,10,27.6291666666667
"2015",2,10,16.2491666666667
"2016",2,10,26.7370833333333
"2015",3,10,22.8858333333333
"2016",3,10,24.3225
"2015",4,10,13.64125
"2016",4,10,20.15
"2015",5,10,18.7483333333333
"2016",5,10,11.2
"2015",6,10,16.5783333333333
"2016",6,10,14.6675
"2015",7,10,17.2
"2016",7,10,11.9533333333333
"2015",8,10,20.7995833333333
"2016",8,10,19.8233333333333
"2015",9,10,23.2333333333333
"2016",9,10,23.0279166666667
"2015",10,10,18.675
"2016",10,10,25.5070833333333
"2015",11,10,28.095
"2015",12,10,27.88875
"2015",1,11,26.7383333333333
"2016",1,11,23.1591666666667
