"Year","Month","Day","Generacion_MWh"
"2015",1,1,0.78875
"2016",1,1,0.936666666666667
"2015",2,1,0.755
"2016",2,1,0.9325
"2015",3,1,0.847916666666667
"2016",3,1,0.993333333333333
"2015",4,1,0.847916666666667
"2016",4,1,0.606666666666667
"2015",5,1,0.709166666666667
"2016",5,1,0.0866666666666667
"2015",6,1,0.6725
"2016",6,1,0.36875
"2015",7,1,0.660416666666667
"2016",7,1,0.357083333333333
"2015",8,1,0.68625
"2016",8,1,0
"2015",9,1,0.75
"2016",9,1,0
"2015",10,1,0.652083333333333
"2016",10,1,0
"2014",11,1,0.83375
"2015",11,1,0.687916666666667
"2014",12,1,0
"2015",12,1,0.993333333333333
"2015",1,2,0.995833333333333
"2016",1,2,0.936666666666667
"2015",2,2,0.9925
"2016",2,2,0.926666666666667
"2015",3,2,0.845833333333333
"2016",3,2,0.92625
"2015",4,2,0.847916666666667
"2016",4,2,0.794583333333333
"2015",5,2,0.709166666666667
"2016",5,2,0.0866666666666667
"2015",6,2,0.665833333333333
"2016",6,2,0.1975
"2015",7,2,0.640416666666667
"2016",7,2,0.521666666666667
"2015",8,2,0.68625
"2016",8,2,0
"2015",9,2,0.75
"2016",9,2,0
"2015",10,2,0.652083333333333
"2016",10,2,0
"2014",11,2,0.83375
"2015",11,2,0.882916666666667
"2014",12,2,0
"2015",12,2,0.911666666666667
"2015",1,3,0.99125
"2016",1,3,0.936666666666667
"2015",2,3,0.9925
"2016",2,3,0.965
"2015",3,3,0.972083333333333
"2016",3,3,0.7775
"2015",4,3,0.847916666666667
"2016",4,3,0.502083333333333
"2015",5,3,0.709166666666667
"2016",5,3,0
"2015",6,3,0.662083333333333
"2016",6,3,0.13375
"2015",7,3,0.810416666666667
"2016",7,3,0.12625
"2015",8,3,0.64
"2016",8,3,0
"2015",9,3,0.75
"2016",9,3,0
"2015",10,3,0.652083333333333
"2016",10,3,0
"2014",11,3,1.005
"2015",11,3,0.71625
"2014",12,3,0
"2015",12,3,0.993333333333333
"2015",1,4,0.818333333333333
"2016",1,4,0
"2015",2,4,0.9925
"2016",2,4,0.9075
"2015",3,4,0.847916666666667
"2016",3,4,0.78125
"2015",4,4,0.847916666666667
"2016",4,4,0.595833333333333
"2015",5,4,0.766666666666667
"2016",5,4,0
"2015",6,4,0.645833333333333
"2016",6,4,0.410833333333333
"2015",7,4,0.810416666666667
"2016",7,4,0.64875
"2015",8,4,0.59
"2016",8,4,0
"2015",9,4,0.75
"2016",9,4,0
"2015",10,4,0.762083333333333
"2016",10,4,0
"2014",11,4,0.999583333333333
"2015",11,4,0.986666666666667
"2014",12,4,0
"2015",12,4,0.993333333333333
"2015",1,5,0.89875
"2016",1,5,0.840416666666667
"2015",2,5,0.967083333333333
