"Year","Month","Day","Generacion_MWh"
"2015",1,1,10.4166666666667
"2016",1,1,7.15416666666667
"2015",2,1,9.75
"2016",2,1,7.42916666666667
"2015",3,1,9.45833333333333
"2016",3,1,6.9625
"2015",4,1,0
"2016",4,1,6.40416666666667
"2015",5,1,4.41666666666667
"2016",5,1,4.875
"2014",6,1,0
"2015",6,1,3.26666666666667
"2016",6,1,2.45833333333333
"2014",7,1,2.375
"2015",7,1,2.78333333333333
"2016",7,1,4.27166666666667
"2014",8,1,3.33333333333333
"2015",8,1,4.87083333333333
"2016",8,1,5.58333333333333
"2014",9,1,3.29166666666667
"2015",9,1,3.25833333333333
"2016",9,1,7.48291666666667
"2014",10,1,3.33333333333333
"2015",10,1,5.59583333333333
"2016",10,1,6.54291666666667
"2014",11,1,8.08333333333333
"2015",11,1,7.90833333333333
"2014",12,1,9.875
"2015",12,1,6.07916666666667
"2015",1,2,10.625
"2016",1,2,6.89583333333333
"2015",2,2,9.41666666666667
"2016",2,2,6.52916666666667
"2015",3,2,8.91666666666667
"2016",3,2,6.78333333333333
"2015",4,2,0
"2016",4,2,6.75
"2015",5,2,4.41666666666667
"2016",5,2,4.53333333333333
"2014",6,2,0
"2015",6,2,3.3625
"2016",6,2,1.66458333333333
"2014",7,2,2.58333333333333
"2015",7,2,3.1375
"2016",7,2,2.81291666666667
"2014",8,2,3.5
"2015",8,2,0.1375
"2016",8,2,5.86666666666667
"2014",9,2,6.04166666666667
"2015",9,2,5.17083333333333
"2016",9,2,6.59833333333333
"2014",10,2,3.04166666666667
"2015",10,2,6.19166666666667
"2016",10,2,7.3725
"2014",11,2,3.58333333333333
"2015",11,2,1.65833333333333
"2014",12,2,9.95833333333333
"2015",12,2,6.2
"2015",1,3,10.75
"2016",1,3,6.69583333333333
"2015",2,3,9.75
"2016",2,3,7.325
"2015",3,3,9.79166666666667
"2016",3,3,6.30833333333333
"2015",4,3,0
"2016",4,3,5.8375
"2015",5,3,4.16666666666667
"2016",5,3,4.2875
"2014",6,3,0.375
"2015",6,3,3.3
"2016",6,3,3.50958333333333
"2014",7,3,2.625
"2015",7,3,2.925
"2016",7,3,2.09125
"2014",8,3,3.45833333333333
"2015",8,3,2.60833333333333
"2016",8,3,6.66666666666667
"2014",9,3,6.25
"2015",9,3,4.9125
"2016",9,3,7.20708333333333
"2014",10,3,2
"2015",10,3,6.3875
"2016",10,3,7.31041666666667
"2014",11,3,0.666666666666667
"2015",11,3,4.975
"2014",12,3,9.20833333333333
"2015",12,3,1.77916666666667
"2015",1,4,9.58333333333333
"2016",1,4,6.4125
"2015",2,4,10.2083333333333
"2016",2,4,4.72916666666667
"2015",3,4,8.08333333333333
"2016",3,4,6.4875
"2015",4,4,0
"2016",4,4,5.1625
"2015",5,4,4.29166666666667
"2016",5,4,4.5875
"2014",6,4,0.583333333333333
"2015",6,4,3.475
"2016",6,4,3.96333333333333
"2014",7,4,1.5
"2015",7,4,3.2875
"2016",7,4,4.97083333333333
"2014",8,4,3.33333333333333
"2015",8,4,0.683333333333333
"2016",8,4,4.16666666666667
"2014",9,4,5.29166666666667
"2015",9,4,5.04583333333333
"2016",9,4,8.37125
"2014",10,4,3.25
"2015",10,4,6.56666666666667
"2016",10,4,7.31041666666667
"2014",11,4,1.66666666666667
"2015",11,4,5.3875
"2014",12,4,9.45833333333333
"2015",12,4,2.43333333333333
"2015",1,5,7.375
"2016",1,5,4.14583333333333
"2015",2,5,7.45833333333333
"2016",2,5,6.87916666666667
"2015",3,5,9.79166666666667
"2016",3,5,7.23333333333333
"2015",4,5,0
"2016",4,5,5.08333333333333
"2015",5,5,4.33333333333333
"2016",5,5,4.38333333333333
"2014",6,5,1.125
"2015",6,5,3.59166666666667
"2016",6,5,4.00416666666667
"2014",7,5,2.58333333333333
"2015",7,5,1.44583333333333
"2016",7,5,4.12791666666667
"2014",8,5,3.66666666666667
"2015",8,5,1.0125
"2016",8,5,2.30666666666667
"2014",9,5,7.29166666666667
"2015",9,5,5.37916666666667
"2016",9,5,8.19791666666667
"2014",10,5,3.41666666666667
"2015",10,5,6.49166666666667
"2016",10,5,7.74916666666667
"2014",11,5,0.416666666666667
"2015",11,5,4.4625
"2014",12,5,9.66666666666667
"2015",12,5,8.1625
"2015",1,6,7.375
"2016",1,6,5.44583333333333
"2015",2,6,8.95833333333333
"2016",2,6,7.12083333333333
"2015",3,6,8.91666666666667
"2016",3,6,7.4125
"2015",4,6,0
"2016",4,6,6.3
"2015",5,6,4.125
"2016",5,6,1.825
"2014",6,6,1.08333333333333
"2015",6,6,3.56666666666667
"2016",6,6,2.7825
"2014",7,6,2.54166666666667
"2015",7,6,1.45416666666667
"2016",7,6,3.60583333333333
"2014",8,6,2.58333333333333
"2015",8,6,1.22083333333333
"2016",8,6,4.0375
"2014",9,6,7.29166666666667
"2015",9,6,4.9
"2016",9,6,6.78583333333333
"2014",10,6,3.45833333333333
"2015",10,6,5.92916666666667
"2016",10,6,7.19583333333333
"2014",11,6,0
"2015",11,6,7.8375
"2014",12,6,9.04166666666667
"2015",12,6,8.54583333333333
"2015",1,7,9.54166666666667
"2016",1,7,4.725
"2015",2,7,10.25
"2016",2,7,7.79166666666667
"2015",3,7,9.20833333333333
"2016",3,7,7.2125
"2015",4,7,0
"2016",4,7,6.1
"2015",5,7,0.25
"2016",5,7,2.275
"2014",6,7,1.04166666666667
"2015",6,7,3.50833333333333
"2016",6,7,4.35708333333333
"2014",7,7,2.20833333333333
"2015",7,7,3.17083333333333
"2016",7,7,4.83166666666667
"2014",8,7,2.20833333333333
"2015",8,7,1.75416666666667
"2016",8,7,4.74541666666667
"2014",9,7,6.375
"2015",9,7,5.2875
"2016",9,7,7.1525
"2014",10,7,3.58333333333333
"2015",10,7,6.57916666666667
"2016",10,7,8.52458333333333
"2014",11,7,0.958333333333333
"2015",11,7,8.24166666666667
"2014",12,7,9.83333333333333
"2015",12,7,3.78333333333333
"2015",1,8,10.6666666666667
"2016",1,8,5.77083333333333
"2015",2,8,10.125
"2016",2,8,6.32083333333333
"2015",3,8,9.58333333333333
"2016",3,8,6.50416666666667
"2015",4,8,0
"2016",4,8,5.82916666666667
"2015",5,8,1.78333333333333
"2016",5,8,1.8375
"2014",6,8,1.20833333333333
"2015",6,8,3.47083333333333
"2016",6,8,3.9475
"2014",7,8,1.75
"2015",7,8,3.25833333333333
"2016",7,8,4.04791666666667
"2014",8,8,2.58333333333333
"2015",8,8,3.2
"2016",8,8,4.90541666666667
"2014",9,8,6.70833333333333
"2015",9,8,5.24583333333333
"2016",9,8,6.23458333333333
"2014",10,8,3.45833333333333
"2015",10,8,6.05
"2016",10,8,8.14541666666667
"2014",11,8,1.83333333333333
"2015",11,8,8.2625
"2014",12,8,9.08333333333333
"2015",12,8,6.82916666666667
"2015",1,9,9.95833333333333
"2016",1,9,6.39166666666667
"2015",2,9,10.0833333333333
"2016",2,9,6.54166666666667
"2015",3,9,9
"2016",3,9,6.525
"2015",4,9,0
"2016",4,9,4.13333333333333
"2015",5,9,1.78333333333333
"2016",5,9,1.55541666666667
"2014",6,9,0.458333333333333
"2015",6,9,3.325
"2016",6,9,2.56125
"2014",7,9,2.625
"2015",7,9,2.34583333333333
"2016",7,9,3.80208333333333
"2014",8,9,3.83333333333333
"2015",8,9,1.8625
"2016",8,9,2.72083333333333
"2014",9,9,7.29166666666667
"2015",9,9,2.4625
"2016",9,9,5.68291666666667
"2014",10,9,3.16666666666667
"2015",10,9,6.05833333333333
"2016",10,9,7.77541666666667
"2014",11,9,1.41666666666667
"2015",11,9,7.675
"2014",12,9,8.375
"2015",12,9,4.02916666666667
"2015",1,10,6.04166666666667
"2016",1,10,6.64166666666667
"2015",2,10,10.2083333333333
"2016",2,10,6.08333333333333
"2015",3,10,9.20833333333333
"2016",3,10,6.16666666666667
"2015",4,10,0
"2016",4,10,5.375
"2015",5,10,4.0875
"2016",5,10,0
"2014",6,10,0.958333333333333
"2015",6,10,3.3625
"2016",6,10,3.37791666666667
"2014",7,10,2.25
"2015",7,10,2.82916666666667
"2016",7,10,1.16458333333333
"2014",8,10,4.04166666666667
"2015",8,10,3.05
"2016",8,10,3.29666666666667
"2014",9,10,7.29166666666667
"2015",9,10,4.88333333333333
"2016",9,10,7.75333333333333
"2014",10,10,3.16666666666667
"2015",10,10,6.23333333333333
"2016",10,10,8.75458333333333
"2014",11,10,0.75
"2015",11,10,6.59166666666667
"2014",12,10,9
"2015",12,10,6.63333333333333
"2015",1,11,6.625
"2016",1,11,3.96666666666667
"2015",2,11,10.25
"2016",2,11,6.37083333333333
"2015",3,11,9.625
"2016",3,11,5.58333333333333
"2015",4,11,0
"2016",4,11,4.25
"2015",5,11,3.60833333333333
"2016",5,11,2.38166666666667
"2014",6,11,0.958333333333333
"2015",6,11,3.39166666666667
"2016",6,11,3.46208333333333
"2014",7,11,2.54166666666667
"2015",7,11,3.35833333333333
"2016",7,11,5.83333333333333
"2014",8,11,4.25
"2015",8,11,3.22083333333333
"2016",8,11,2.55916666666667
"2014",9,11,5.58333333333333
"2015",9,11,4.85416666666667
"2016",9,11,8.22791666666667
"2014",10,11,3.58333333333333
"2015",10,11,6.35833333333333
"2016",10,11,8.27875
"2014",11,11,0.0416666666666667
"2015",11,11,7.55
"2014",12,11,9.79166666666667
"2015",12,11,6.7
"2015",1,12,9.91666666666667
"2016",1,12,6.37916666666667
"2015",2,12,10.2083333333333
"2016",2,12,6.31666666666667
"2015",3,12,9.125
"2016",3,12,4.51666666666667
"2015",4,12,0
"2016",4,12,4.19166666666667
"2015",5,12,3.75
"2016",5,12,4.38
"2014",6,12,1.20833333333333
"2015",6,12,3.2125
"2016",6,12,1.58541666666667
"2014",7,12,2.375
"2015",7,12,3.25416666666667
"2016",7,12,5.29166666666667
"2014",8,12,4.5
"2015",8,12,3.56666666666667
"2016",8,12,6.32875
"2014",9,12,0
"2015",9,12,5.2875
"2016",9,12,6.62916666666667
"2014",10,12,6
"2015",10,12,6.36666666666667
"2016",10,12,5.45833333333333
"2014",11,12,1.125
"2015",11,12,5.96666666666667
"2014",12,12,9.25
"2015",12,12,6.85833333333333
"2015",1,13,10.3333333333333
"2016",1,13,3.4375
"2015",2,13,10.3333333333333
"2016",2,13,5.55
"2015",3,13,9.5
"2016",3,13,4.575
"2015",4,13,0
"2016",4,13,5.40833333333333
"2015",5,13,3.75
"2016",5,13,4.65333333333333
"2014",6,13,1.20833333333333
"2015",6,13,3.275
"2016",6,13,3.61583333333333
"2014",7,13,2.45833333333333
"2015",7,13,0.820833333333333
"2016",7,13,5.375
"2014",8,13,4.625
"2015",8,13,2.76666666666667
"2016",8,13,6.68125
"2014",9,13,3.54166666666667
"2015",9,13,5.73333333333333
"2016",9,13,6.1975
"2014",10,13,3.70833333333333
"2015",10,13,6.48333333333333
"2016",10,13,6.2375
"2014",11,13,2.25
"2015",11,13,7.69583333333333
"2014",12,13,8.5
"2015",12,13,7.59583333333333
"2015",1,14,10.7083333333333
"2016",1,14,6.37083333333333
"2015",2,14,8.83333333333333
"2016",2,14,6.17916666666667
"2015",3,14,9.5
"2016",3,14,6.43333333333333
"2015",4,14,0
"2016",4,14,5.75833333333333
"2015",5,14,3.58333333333333
"2016",5,14,4.7564
"2014",6,14,1.25
"2015",6,14,3.2625
"2016",6,14,4.88166666666667
"2014",7,14,2.29166666666667
"2015",7,14,4.2625
"2016",7,14,5.79166666666667
"2014",8,14,2.16666666666667
"2015",8,14,4.11666666666667
"2016",8,14,7.09583333333333
"2014",9,14,7.625
"2015",9,14,5.99583333333333
"2016",9,14,6.55541666666667
"2014",10,14,2.95833333333333
"2015",10,14,6.17083333333333
"2016",10,14,7.64666666666667
"2014",11,14,9.125
"2015",11,14,5.22083333333333
"2014",12,14,8.95833333333333
"2015",12,14,7.71666666666667
"2015",1,15,10.5416666666667
"2016",1,15,5.75
"2015",2,15,9.91666666666667
"2016",2,15,5.825
"2015",3,15,8.58333333333333
"2016",3,15,5.16666666666667
"2015",4,15,0
"2016",4,15,5.80416666666667
"2015",5,15,3.9875
"2016",5,15,2.85291666666667
"2014",6,15,1.16666666666667
"2015",6,15,3.29166666666667
"2016",6,15,4.91708333333333
"2014",7,15,2.375
"2015",7,15,4.65416666666667
"2016",7,15,5.41666666666667
"2014",8,15,4.75
"2015",8,15,2.65416666666667
"2016",8,15,6.67791666666667
"2014",9,15,7.75
"2015",9,15,5.85833333333333
"2016",9,15,7.77083333333333
"2014",10,15,2.66666666666667
"2015",10,15,6.98333333333333
"2016",10,15,6.99708333333333
"2014",11,15,9.625
"2015",11,15,6.09583333333333
"2014",12,15,8.58333333333333
"2015",12,15,6.80416666666667
"2015",1,16,10.375
"2016",1,16,6.1875
"2015",2,16,10.0833333333333
"2016",2,16,5.62083333333333
"2015",3,16,8.58333333333333
"2016",3,16,5.47916666666667
"2015",4,16,1.91666666666667
"2016",4,16,5.60833333333333
"2015",5,16,4.09583333333333
"2016",5,16,4.30166666666667
"2014",6,16,1.20833333333333
"2015",6,16,3.425
"2016",6,16,2.70333333333333
"2014",7,16,2.5
"2015",7,16,4.72083333333333
"2016",7,16,6.41666666666667
"2014",8,16,4.75
"2015",8,16,4.22083333333333
"2016",8,16,5.14041666666667
"2014",9,16,6.95833333333333
"2015",9,16,6.1125
"2016",9,16,8.21625
"2014",10,16,4.16666666666667
"2015",10,16,6.2
"2016",10,16,5.80125
"2014",11,16,9.04166666666667
"2015",11,16,5.925
"2014",12,16,9.45833333333333
"2015",12,16,6.10416666666667
"2015",1,17,10.0833333333333
"2016",1,17,5.75
"2015",2,17,9.95833333333333
"2016",2,17,4.12916666666667
"2015",3,17,9
"2016",3,17,5.52916666666667
"2015",4,17,2.975
"2016",4,17,2.74583333333333
"2015",5,17,3.97083333333333
"2016",5,17,5.03458333333333
"2014",6,17,1.41666666666667
"2015",6,17,3.12916666666667
"2016",6,17,4.74125
"2014",7,17,2.79166666666667
"2015",7,17,4.72083333333333
"2016",7,17,5.83333333333333
"2014",8,17,4.08333333333333
"2015",8,17,4.82916666666667
"2016",8,17,7.05791666666667
"2014",9,17,5.45833333333333
"2015",9,17,5.99583333333333
"2016",9,17,7.8575
"2014",10,17,6.16666666666667
"2015",10,17,6.57916666666667
"2016",10,17,4.98083333333333
"2014",11,17,9.16666666666667
"2015",11,17,5.875
"2014",12,17,8.41666666666667
"2015",12,17,5.53333333333333
"2015",1,18,8.125
"2016",1,18,5.72916666666667
"2015",2,18,8.375
"2016",2,18,6.2125
"2015",3,18,8.33333333333333
"2016",3,18,6.87083333333333
"2015",4,18,0.0583333333333333
"2016",4,18,2.66666666666667
"2015",5,18,3.80416666666667
"2016",5,18,4.41916666666667
"2014",6,18,1.70833333333333
"2015",6,18,3.28333333333333
"2016",6,18,4.48
"2014",7,18,2.91666666666667
"2015",7,18,4.72916666666667
"2016",7,18,6.50833333333333
"2014",8,18,4.5
"2015",8,18,4.40416666666667
"2016",8,18,7.04041666666667
"2014",9,18,7.33333333333333
"2015",9,18,6.50416666666667
"2016",9,18,8.4775
"2014",10,18,7.29166666666667
"2015",10,18,4.94166666666667
"2016",10,18,3.44375
"2014",11,18,10
"2015",11,18,5.86666666666667
"2014",12,18,8.70833333333333
"2015",12,18,7.23333333333333
"2015",1,19,8.16666666666667
"2016",1,19,6.75833333333333
"2015",2,19,5.70833333333333
"2016",2,19,5.27083333333333
"2015",3,19,8.375
"2016",3,19,7.05833333333333
"2015",4,19,0
"2016",4,19,5.3
"2015",5,19,3.74166666666667
"2016",5,19,4.27291666666667
"2014",6,19,1.54166666666667
"2015",6,19,3.29583333333333
"2016",6,19,3.70541666666667
"2014",7,19,2.91666666666667
"2015",7,19,3.80416666666667
"2016",7,19,5.88583333333333
"2014",8,19,5.20833333333333
"2015",8,19,1.40833333333333
"2016",8,19,7.04416666666667
"2014",9,19,8
"2015",9,19,5.51666666666667
"2016",9,19,7.88833333333333
"2014",10,19,7.83333333333333
"2015",10,19,6.525
"2016",10,19,2.35708333333333
"2014",11,19,3.70833333333333
"2015",11,19,5.96666666666667
"2014",12,19,9.75
"2015",12,19,5.85416666666667
"2015",1,20,11.0416666666667
"2016",1,20,7.1875
"2015",2,20,9.91666666666667
"2016",2,20,6.03333333333333
"2015",3,20,7.625
"2016",3,20,7.0125
"2015",4,20,0
"2016",4,20,5.1125
"2015",5,20,3.7
"2016",5,20,4.44916666666667
"2014",6,20,1.70833333333333
"2015",6,20,3.24166666666667
"2016",6,20,3.9425
"2014",7,20,2.95833333333333
"2015",7,20,4.00416666666667
"2016",7,20,4.6175
"2014",8,20,4.875
"2015",8,20,5.05
"2016",8,20,6.86583333333333
"2014",9,20,7.75
"2015",9,20,6.32916666666667
"2016",9,20,8.04083333333333
"2014",10,20,7.58333333333333
"2015",10,20,7.84583333333333
"2016",10,20,2.41541666666667
"2014",11,20,9.29166666666667
"2015",11,20,2.9375
"2014",12,20,9.83333333333333
"2015",12,20,5.13333333333333
"2015",1,21,10.9166666666667
"2016",1,21,5.62916666666667
"2015",2,21,10.1666666666667
"2016",2,21,6.97083333333333
"2015",3,21,6.625
"2016",3,21,6.32916666666667
"2015",4,21,0
"2016",4,21,4.3
"2015",5,21,3.90833333333333
"2016",5,21,4.70166666666667
"2014",6,21,2.08333333333333
"2015",6,21,2.5125
"2016",6,21,4.51875
"2014",7,21,2.66666666666667
"2015",7,21,3.45
"2016",7,21,5.96041666666667
"2014",8,21,5.5
"2015",8,21,5.02083333333333
"2016",8,21,6.3475
"2014",9,21,7.91666666666667
"2015",9,21,6.175
"2016",9,21,8.2725
"2014",10,21,7.375
"2015",10,21,7.44166666666667
"2016",10,21,4.02625
"2014",11,21,9.66666666666667
"2015",11,21,4.22916666666667
"2014",12,21,10.8333333333333
"2015",12,21,5.70416666666667
"2015",1,22,10.7916666666667
"2016",1,22,6.0625
"2015",2,22,10.0416666666667
"2016",2,22,6.0875
"2015",3,22,0
"2016",3,22,6.0125
"2015",4,22,3.16666666666667
"2016",4,22,3.91666666666667
"2015",5,22,3.80416666666667
"2016",5,22,4.38833333333333
"2014",6,22,2.125
"2015",6,22,2.53333333333333
"2016",6,22,4.16666666666667
"2014",7,22,2.08333333333333
"2015",7,22,1.19583333333333
"2016",7,22,6.38083333333333
"2014",8,22,4.70833333333333
"2015",8,22,4.72916666666667
"2016",8,22,6.22166666666667
"2014",9,22,7.125
"2015",9,22,6.24166666666667
"2016",9,22,5.32791666666667
"2014",10,22,6.33333333333333
"2015",10,22,8.80833333333333
"2016",10,22,1.89458333333333
"2014",11,22,8.66666666666667
"2015",11,22,4.82916666666667
"2014",12,22,9.54166666666667
"2015",12,22,5.64583333333333
"2015",1,23,10.7916666666667
"2016",1,23,6.35
"2015",2,23,9.8
"2016",2,23,6.28333333333333
"2015",3,23,7.04166666666667
"2016",3,23,5.9
"2015",4,23,3.04166666666667
"2016",4,23,3.475
"2015",5,23,2.3125
"2016",5,23,4.05958333333333
"2014",6,23,2
"2015",6,23,2.59583333333333
"2016",6,23,3.125
"2014",7,23,2.66666666666667
"2015",7,23,4.32083333333333
"2016",7,23,6.66375
"2014",8,23,5
"2015",8,23,4.15416666666667
"2016",8,23,7.04041666666667
"2014",9,23,7.20833333333333
"2015",9,23,5.99166666666667
"2016",9,23,4.8975
"2014",10,23,6.33333333333333
"2015",10,23,8.40416666666667
"2016",10,23,6.63125
"2014",11,23,9.58333333333333
"2015",11,23,4.02083333333333
"2014",12,23,10.4166666666667
"2015",12,23,5.475
"2015",1,24,8.16666666666667
"2016",1,24,6.39166666666667
"2015",2,24,8.9125
"2016",2,24,5.77916666666667
"2015",3,24,3.23333333333333
"2016",3,24,4.40416666666667
"2015",4,24,3.08333333333333
"2016",4,24,1.98333333333333
"2015",5,24,3.3625
"2016",5,24,4.84833333333333
"2014",6,24,2.25
"2015",6,24,2.97916666666667
"2016",6,24,0.75
"2014",7,24,3.08333333333333
"2015",7,24,4.51666666666667
"2016",7,24,6.20666666666667
"2014",8,24,5
"2015",8,24,5.05
"2016",8,24,7.15333333333333
"2014",9,24,6.41666666666667
"2015",9,24,2.75833333333333
"2016",9,24,8.55041666666667
"2014",10,24,7.79166666666667
"2015",10,24,8.10416666666667
"2016",10,24,3.5525
"2014",11,24,9.875
"2015",11,24,6.075
"2014",12,24,10.5416666666667
"2015",12,24,4.82083333333333
"2015",1,25,10.4166666666667
"2016",1,25,4.9125
"2015",2,25,9.15416666666667
"2016",2,25,6.0125
"2015",3,25,0
"2016",3,25,5.43333333333333
"2015",4,25,2.16666666666667
"2016",4,25,3.77916666666667
"2015",5,25,0.870833333333333
"2016",5,25,3.61041666666667
"2014",6,25,2.29166666666667
"2015",6,25,3.025
"2016",6,25,3.45833333333333
"2014",7,25,3.375
"2015",7,25,4.56666666666667
"2016",7,25,4.1
"2014",8,25,5.45833333333333
"2015",8,25,2.71666666666667
"2016",8,25,7.555
"2014",9,25,6.5
"2015",9,25,6.3375
"2016",9,25,8.31416666666667
"2014",10,25,7.45833333333333
"2015",10,25,1.37916666666667
"2016",10,25,5.63541666666667
"2014",11,25,8.70833333333333
"2015",11,25,4.62083333333333
"2014",12,25,10.4166666666667
"2015",12,25,4.42083333333333
"2015",1,26,6.33333333333333
"2016",1,26,4.03333333333333
"2015",2,26,7.90833333333333
"2016",2,26,5.94583333333333
"2015",3,26,0
"2016",3,26,4.98333333333333
"2015",4,26,3.04166666666667
"2016",4,26,2.46666666666667
"2015",5,26,3.3625
"2016",5,26,4.01625
"2014",6,26,1.70833333333333
"2015",6,26,2.975
"2016",6,26,2.58333333333333
"2014",7,26,3.79166666666667
"2015",7,26,4.6
"2016",7,26,2.32333333333333
"2014",8,26,5.66666666666667
"2015",8,26,4.34166666666667
"2016",8,26,6.6425
"2014",9,26,7.08333333333333
"2015",9,26,6.34166666666667
"2016",9,26,8.42291666666667
"2014",10,26,7.5
"2015",10,26,8.27916666666667
"2016",10,26,7.06291666666667
"2014",11,26,1.33333333333333
"2015",11,26,7.16666666666667
"2014",12,26,10.1666666666667
"2015",12,26,4.92083333333333
"2015",1,27,7.66666666666667
"2016",1,27,5.87916666666667
"2015",2,27,9.11666666666667
"2016",2,27,6.25416666666667
"2015",3,27,0
"2016",3,27,4.3375
"2015",4,27,3.04166666666667
"2016",4,27,4.59166666666667
"2015",5,27,3.60833333333333
"2016",5,27,1.76208333333333
"2014",6,27,2.25
"2015",6,27,3.11666666666667
"2016",6,27,3.005
"2014",7,27,3.375
"2015",7,27,4.37916666666667
"2016",7,27,5.365
"2014",8,27,5.79166666666667
"2015",8,27,1.49166666666667
"2016",8,27,6.78166666666667
"2014",9,27,3.29166666666667
"2015",9,27,6.36666666666667
"2016",9,27,7.85958333333333
"2014",10,27,7.66666666666667
"2015",10,27,8.50416666666667
"2016",10,27,7.32708333333333
"2014",11,27,9.91666666666667
"2015",11,27,7.51666666666667
"2014",12,27,10.0833333333333
"2015",12,27,5.53333333333333
"2015",1,28,10.5416666666667
"2016",1,28,7.19583333333333
"2015",2,28,8.73333333333333
"2016",2,28,5.80833333333333
"2015",3,28,0
"2016",3,28,4.87916666666667
"2015",4,28,3.15
"2016",4,28,4.6875
"2015",5,28,3.37916666666667
"2016",5,28,3.70666666666667
"2014",6,28,2.25
"2015",6,28,1.2125
"2016",6,28,3.64625
"2014",7,28,3.41666666666667
"2015",7,28,3.67916666666667
"2016",7,28,5.86625
"2014",8,28,5.16666666666667
"2015",8,28,1.875
"2016",8,28,5.02833333333333
"2014",9,28,3.29166666666667
"2015",9,28,6.64166666666667
"2016",9,28,4.68333333333333
"2014",10,28,8.375
"2015",10,28,8.15416666666667
"2016",10,28,8.09666666666667
