"Year","Month","Day","Generacion_MWh"
"2015",1,1,0.945833333333333
"2016",1,1,0.654166666666667
"2015",2,1,0.870833333333333
"2016",2,1,0
"2015",3,1,0.770833333333333
"2016",3,1,0.404166666666667
"2015",4,1,0.7375
"2016",4,1,0.654166666666667
"2015",5,1,0.370833333333333
"2016",5,1,0.0333333333333333
"2014",6,1,0.225
"2015",6,1,0.529166666666667
"2016",6,1,0
"2014",7,1,0.3875
"2015",7,1,0.454166666666667
"2016",7,1,0
"2014",8,1,0.3875
"2015",8,1,0.566666666666667
"2016",8,1,0
"2014",9,1,0.3875
"2015",9,1,0.675
"2016",9,1,0
"2014",10,1,0.491666666666667
"2015",10,1,0
"2016",10,1,0
"2014",11,1,0.604166666666667
"2015",11,1,0.841666666666667
"2014",12,1,0.6125
"2015",12,1,0.833333333333333
"2015",1,2,0.983333333333333
"2016",1,2,0.683333333333333
"2015",2,2,0.8625
"2016",2,2,0.4875
"2015",3,2,0.645833333333333
"2016",3,2,0.5125
"2015",4,2,0.5875
"2016",4,2,0.720833333333333
"2015",5,2,0.3375
"2016",5,2,0.0333333333333333
"2014",6,2,0.220833333333333
"2015",6,2,0.495833333333333
"2016",6,2,0
"2014",7,2,0.3875
"2015",7,2,0.454166666666667
"2016",7,2,0
"2014",8,2,0.3875
"2015",8,2,0.566666666666667
"2016",8,2,0
"2014",9,2,0.3875
"2015",9,2,0.675
"2016",9,2,0
"2014",10,2,0.491666666666667
"2015",10,2,0
"2016",10,2,0
"2014",11,2,0.6
"2015",11,2,0.6125
"2014",12,2,0.9375
"2015",12,2,0
"2015",1,3,0.9375
"2016",1,3,0.533333333333333
"2015",2,3,0.8125
"2016",2,3,0.3875
"2015",3,3,0.75
"2016",3,3,0.370833333333333
"2015",4,3,0.570833333333333
"2016",4,3,0.354166666666667
"2015",5,3,0.3375
"2016",5,3,0
"2014",6,3,0.220833333333333
"2015",6,3,0.525
"2016",6,3,0
"2014",7,3,0.3875
"2015",7,3,0.454166666666667
"2016",7,3,0
"2014",8,3,0.3875
"2015",8,3,0.191666666666667
"2016",8,3,0
"2014",9,3,0.3875
"2015",9,3,0.470833333333333
"2016",9,3,0
"2014",10,3,0.491666666666667
"2015",10,3,0
"2016",10,3,0
"2014",11,3,0.954166666666667
"2015",11,3,0.6125
"2014",12,3,0.9375
"2015",12,3,0.616666666666667
"2015",1,4,0.9
"2016",1,4,0.383333333333333
"2015",2,4,0.8625
"2016",2,4,0.420833333333333
"2015",3,4,0.679166666666667
"2016",3,4,0.0333333333333333
"2015",4,4,0.7125
"2016",4,4,0.416666666666667
"2015",5,4,0.583333333333333
"2016",5,4,0
"2014",6,4,0.275
"2015",6,4,0.420833333333333
"2016",6,4,0
"2014",7,4,0.3875
"2015",7,4,0.454166666666667
"2016",7,4,0
"2014",8,4,0.3875
"2015",8,4,0.458333333333333
"2016",8,4,0
"2014",9,4,0.3875
"2015",9,4,0.691666666666667
"2016",9,4,0
"2014",10,4,0.491666666666667
"2015",10,4,0
"2016",10,4,0
"2014",11,4,0.945833333333333
"2015",11,4,0.870833333333333
"2014",12,4,0.866666666666667
"2015",12,4,0.795833333333333
"2015",1,5,0.7875
"2016",1,5,0.133333333333333
"2015",2,5,0.841666666666667
"2016",2,5,0.333333333333333
"2015",3,5,0.729166666666667
"2016",3,5,0.554166666666667
"2015",4,5,0.766666666666667
"2016",4,5,0.1125
