"Year","Month","Day","Generacion_MWh"
"2016",1,1,7.22083333333333
"2016",2,1,7.15
"2016",3,1,6.72833333333333
"2016",4,1,7.0125
"2016",5,1,6.91666666666667
"2016",6,1,6.85833333333333
"2015",7,1,0
"2016",7,1,5.42916666666667
"2015",8,1,0
"2016",8,1,7.10041666666667
"2015",9,1,7.52541666666667
"2016",9,1,7.5225
"2015",10,1,7.8125
"2016",10,1,8.0575
"2015",11,1,7.96666666666667
"2015",12,1,6.9375
"2016",1,2,7.31
"2016",2,2,7.2
"2016",3,2,6.25833333333333
"2016",4,2,7.41166666666667
"2016",5,2,7.11833333333333
"2016",6,2,6.8125
"2015",7,2,0
"2016",7,2,4.9525
"2015",8,2,0
"2016",8,2,7.15166666666667
"2015",9,2,7.36875
"2016",9,2,7.475
"2015",10,2,4.93958333333333
"2016",10,2,7.98416666666667
"2015",11,2,7.59583333333333
"2015",12,2,7.01666666666667
"2016",1,3,7.02916666666667
"2016",2,3,7.3625
"2016",3,3,7.11666666666667
"2016",4,3,7.24166666666667
"2016",5,3,7.19291666666667
"2016",6,3,5.69166666666667
"2015",7,3,0
"2016",7,3,5.05916666666667
"2015",8,3,0
"2016",8,3,7.185
"2015",9,3,7.38541666666667
"2016",9,3,7.75958333333333
"2015",10,3,6.8125
"2016",10,3,7.96125
"2015",11,3,8.04166666666667
"2015",12,3,7.4375
"2016",1,4,7.43333333333333
"2016",2,4,7.36666666666667
"2016",3,4,7.62916666666667
"2016",4,4,6.925
"2016",5,4,6.5875
"2016",6,4,0.0333333333333333
"2015",7,4,0
"2016",7,4,4.3625
"2015",8,4,0
"2016",8,4,7.12041666666667
"2015",9,4,0
"2016",9,4,7.76
"2015",10,4,7.725
"2016",10,4,8.1625
"2015",11,4,7.975
"2015",12,4,7.38333333333333
"2016",1,5,7.27458333333333
"2016",2,5,7.37083333333333
"2016",3,5,7.68333333333333
"2016",4,5,3.79583333333333
"2016",5,5,7.04583333333333
"2016",6,5,6.66666666666667
"2015",7,5,0
"2016",7,5,5.95416666666667
"2015",8,5,6.78458333333333
"2016",8,5,7.255
"2015",9,5,6.99583333333333
"2016",9,5,7.77666666666667
"2015",10,5,7.955
"2016",10,5,8.06333333333333
"2015",11,5,7.9125
"2015",12,5,7.3625
"2016",1,6,6.91666666666667
"2016",2,6,7.425
"2016",3,6,7.57916666666667
"2016",4,6,7.21125
"2016",5,6,6.77083333333333
"2016",6,6,6.47916666666667
"2015",7,6,0
"2016",7,6,5.925
"2015",8,6,0
"2016",8,6,5.04083333333333
"2015",9,6,7.13
"2016",9,6,7.17166666666667
"2015",10,6,7.88333333333333
"2016",10,6,7.92125
"2015",11,6,7.9125
"2015",12,6,7.46666666666667
"2016",1,7,6.94583333333333
"2016",2,7,6.74583333333333
"2016",3,7,7.57083333333333
"2016",4,7,6.72083333333333
"2016",5,7,6.19583333333333
