"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"8","diego de almagro","2016","02","03","14","1","","1.0","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"9","san andres","2016","02","03","14","1","","3.0","31.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","03","14","1","","6.0","86.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","03","14","20","","1.0","19.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"9","san andres","2016","02","03","14","20","","1.0","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","03","14","20","","3.0","83.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","03","14","37","","2.0","17.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
"9","san andres","2016","02","03","14","37","","3.0","27.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
"19","luz del norte","2016","02","03","14","37","","7.0","76.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
"8","diego de almagro","2016","02","03","17","50","1.0","","18.0","Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
"9","san andres","2016","02","03","17","50","2.0","","29.0","Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
"19","luz del norte","2016","02","03","17","50","6.0","","82.0","Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
"8","diego de almagro","2016","02","03","18","15","2.0","","21.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"9","san andres","2016","02","03","18","15","4.0","","34.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","03","18","15","14.0","","96.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","03","18","35","1.0","","22.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
"9","san andres","2016","02","03","18","35","2.0","","36.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
"19","luz del norte","2016","02","03","18","35","5.0","","97.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
"8","diego de almagro","2016","02","04","10","20","","","14.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","04","10","20","","","31.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","04","10","20","","5.0","109.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","10","31","","","14.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","04","10","31","","","31.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","04","10","31","","6.0","103.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","10","42","","1.0","13.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"9","san andres","2016","02","04","10","42","","1.0","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","04","10","42","","14.0","89.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","12","5","","","13.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","04","12","5","","","30.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","04","12","5","","4.0","85.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","15","51","","","13.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"9","san andres","2016","02","04","15","51","","2.0","28.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","04","15","51","","7.0","78.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","18","4","5.0","","18.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
"9","san andres","2016","02","04","18","4","2.0","","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","04","18","4","5.0","","83.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","04","18","21","2.0","","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
"9","san andres","2016","02","04","18","21","2.0","","32.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
