"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.0764142850206958
7,1,1,81.5116356478797
8,1,1,307.469801161024
9,1,1,550.415911356608
10,1,1,770.473091125488
11,1,1,946.679529825846
12,1,1,1064.4848268297
13,1,1,1114.58335198296
14,1,1,1093.11303710938
15,1,1,1001.72739579942
16,1,1,847.519489712185
17,1,1,642.945556640625
18,1,1,406.029661814372
19,1,1,165.00111802419
20,1,1,10.3567110200723
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0.0406220102061828
7,2,1,73.5069026086066
8,2,1,294.928012688955
9,2,1,527.728340042962
10,2,1,721.676362143623
11,2,1,891.983047485352
12,2,1,1007.31608751085
13,2,1,1093.47226164076
14,2,1,1058.03774346246
15,2,1,983.593603769938
16,2,1,846.147692362467
17,2,1,642.101116604275
18,2,1,405.704552968343
19,2,1,165.160208384196
20,2,1,10.5175010330147
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0.00750693286924313
7,3,1,76.4626636836264
8,3,1,299.83437093099
9,3,1,542.006047566732
10,3,1,761.927157084147
11,3,1,899.48179075453
12,3,1,1037.35243776109
13,3,1,1062.17302703857
14,3,1,1060.53595055474
15,3,1,997.103956434462
16,3,1,844.055430094401
17,3,1,600.246592733595
18,3,1,379.430911832386
19,3,1,164.929845280117
20,3,1,10.6113853040669
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,70.0174980306377
8,4,1,295.537174224854
9,4,1,537.264077504476
10,4,1,757.131017896864
11,4,1,933.832195705838
12,4,1,1052.62060207791
13,4,1,1028.26268556383
14,4,1,980.552045398288
15,4,1,878.440527280172
16,4,1,788.788608868917
17,4,1,595.380625565847
18,4,1,354.161053922441
19,4,1,151.032017101844
20,4,1,9.79313547867868
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,66.5305793235699
8,5,1,271.628094381756
9,5,1,518.105091730754
10,5,1,718.917287720574
11,5,1,891.794395022922
12,5,1,984.555434544881
13,5,1,979.514643669128
14,5,1,953.056622995271
15,5,1,928.889741155836
16,5,1,784.690481609768
17,5,1,595.100981818305
18,5,1,345.876589960522
19,5,1,127.804705707563
20,5,1,9.28797155246139
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,63.5255305722045
8,6,1,267.918542424838
9,6,1,514.858062320285
10,6,1,751.304593404134
11,6,1,929.100073920356
12,6,1,1049.13838365343
13,6,1,1076.68119133843
14,6,1,1083.14353603787
15,6,1,994.44293891059
16,6,1,809.644117567274
17,6,1,624.965722613865
18,6,1,381.493660900328
19,6,1,158.399780513512
20,6,1,10.0863355278141
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,66.867133392228
8,7,1,285.558819876777
9,7,1,527.664143880208
10,7,1,748.773328145345
11,7,1,927.114125569661
12,7,1,1047.73127407498
13,7,1,1100.98635694716
14,7,1,1082.7627919515
15,7,1,994.432345920139
16,7,1,842.929589165582
17,7,1,640.546839396159
18,7,1,405.306099361844
19,7,1,165.581948916117
20,7,1,10.9389400382837
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,61.975636407733
8,8,1,282.70639652676
9,8,1,525.047692616781
10,8,1,746.646937900119
11,8,1,925.573779635959
12,8,1,1046.81084781223
13,8,1,1059.32051086426
14,8,1,1060.61262596978
15,8,1,995.065997653537
16,8,1,843.848648919
17,8,1,626.41990852356
18,8,1,379.896169715458
19,8,1,135.811834219429
20,8,1,9.62567595930563
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,60.3972384747532
8,9,1,280.397402657403
9,9,1,523.036521487766
10,9,1,745.123018900553
11,9,1,924.615157233344
12,9,1,1001.6181763543
13,9,1,1054.86737230089
14,9,1,1028.59388987223
15,9,1,951.88847817315
16,9,1,845.16360727946
17,9,1,630.689692815145
18,9,1,337.676451444626
19,9,1,142.343435933193
20,9,1,9.74233218903343
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,56.6321452491813
8,10,1,256.163672884305
9,10,1,515.996039072672
10,10,1,743.901523166233
11,10,1,923.950441996256
12,10,1,1012.29253260295
13,10,1,955.835278828939
14,10,1,974.558060540093
15,10,1,906.348786671956
16,10,1,819.498684353299
17,10,1,644.62851969401
18,10,1,401.730962382423
19,10,1,150.41204171545
20,10,1,10.434468553298
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,59.5201157008608
8,11,1,260.60502714581
9,11,1,503.305790477329
10,11,1,741.178363376194
11,11,1,921.481797960069
12,11,1,969.723315768772
13,11,1,973.531440337499
14,11,1,998.148557874891
15,11,1,941.935648176405
16,11,1,793.141362084283
17,11,1,615.730505731371
18,11,1,402.585338804457
19,11,1,167.994406382243
