"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,37.7606156798979
8,1,1,223.997486432393
9,1,1,452.813020494249
10,1,1,665.712294684516
11,1,1,837.927257113987
12,1,1,927.612006293403
13,1,1,949.464328765869
14,1,1,963.088919745551
15,1,1,890.652772691515
16,1,1,739.070738050673
17,1,1,539.744605594211
18,1,1,313.182608922323
19,1,1,97.1581613222758
20,1,1,1.30109401370606
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,35.1267442860537
8,2,1,208.793975452582
9,2,1,402.571792019738
10,2,1,637.93664571974
11,2,1,836.911087036133
12,2,1,952.951218499078
13,2,1,1002.49893612332
14,2,1,963.659992641873
15,2,1,865.406497531467
16,2,1,676.146099408468
17,2,1,485.935534954071
18,2,1,289.417496038808
19,2,1,87.4320330950949
20,2,1,1.35051370831206
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,27.1245813554463
8,3,1,163.395615041256
9,3,1,383.786763432953
10,3,1,646.700114568075
11,3,1,833.870665656196
12,3,1,950.235726250542
13,3,1,991.04711956448
14,3,1,938.451072057088
15,3,1,811.936577161153
16,3,1,679.025698873732
17,3,1,513.982948833042
18,3,1,268.664770040247
19,3,1,76.0573543036977
20,3,1,1.37330673967598
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,27.0836507914226
8,4,1,157.153240015109
9,4,1,396.325642479791
10,4,1,621.4419298172
11,4,1,775.713166130914
12,4,1,901.631398095025
13,4,1,840.659701241387
14,4,1,782.354662577311
15,4,1,744.140344089932
16,4,1,678.34501086341
17,4,1,412.655580732557
18,4,1,200.353918804063
19,4,1,55.5946366302669
20,4,1,1.34834175939775
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,27.8756737307542
8,5,1,168.390446811914
9,5,1,388.948064486186
10,5,1,636.556505097283
11,5,1,824.163454691569
12,5,1,910.347277959188
13,5,1,914.799275080363
14,5,1,856.125926759508
15,5,1,838.704393280877
16,5,1,677.209211561415
17,5,1,537.140527937147
18,5,1,268.38274400764
19,5,1,70.6317991018295
20,5,1,1.38534609373245
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,24.9817646752215
8,6,1,166.147835519579
9,6,1,384.190966235267
10,6,1,624.868398136563
11,6,1,805.526369730631
12,6,1,867.854987462362
13,6,1,809.770686255561
14,6,1,836.339399337769
15,6,1,762.212118069331
16,6,1,667.844334575865
17,6,1,451.054544958803
18,6,1,256.821951690647
19,6,1,75.4837624269227
20,6,1,1.43271619495418
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,24.334178368561
8,7,1,158.958966506852
9,7,1,385.80594584677
10,7,1,633.801782290141
11,7,1,821.255966186523
12,7,1,888.812043507894
13,7,1,832.292418162028
14,7,1,866.629428651598
15,7,1,770.312368075053
16,7,1,596.079450448354
17,7,1,415.818779097663
18,7,1,226.287868142128
19,7,1,70.1197425135308
20,7,1,1.51072481861855
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,20.8928437467095
8,8,1,187.542758252886
9,8,1,430.507047441271
10,8,1,644.701235453288
11,8,1,772.295405493842
12,8,1,897.385972340902
13,8,1,932.738472408719
14,8,1,954.140172322591
15,8,1,875.472102059258
16,8,1,709.91225221422
17,8,1,500.175594700707
18,8,1,226.58790286382
19,8,1,64.735184205489
20,8,1,1.55350166362607
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,20.6251929396143
8,9,1,167.434207830164
9,9,1,387.934120575587
10,9,1,616.715668254428
11,9,1,800.430855221219
12,9,1,937.579158359104
13,9,1,956.021641625298
14,9,1,956.118187798394
15,9,1,802.986263699002
16,9,1,633.83061504364
17,9,1,393.909544229507
18,9,1,223.949660168754
19,9,1,68.9123450128569
20,9,1,1.62165695516807
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,22.4638958406997
8,10,1,136.593262142605
9,10,1,372.180999987655
10,10,1,628.98723130756
11,10,1,801.508395724826
12,10,1,891.498262193468
13,10,1,840.659763336182
14,10,1,815.724567095439
15,10,1,779.057577980889
16,10,1,644.526165856255
17,10,1,410.516881518894
18,10,1,248.289997842577
19,10,1,86.2860241884159
20,10,1,1.74920219493409
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,20.9727999512365
8,11,1,155.876187281476
9,11,1,328.21974392732
10,11,1,511.68785905838
11,11,1,789.718077977498
12,11,1,936.267228444417
13,11,1,876.557980431451
14,11,1,843.436733775669
15,11,1,779.76390891605
16,11,1,622.506030400594
17,11,1,428.989458567566
18,11,1,241.342204577393
19,11,1,72.3974135720895
20,11,1,1.90249875519011
21,11,1,0
22,11,1,0
23,11,1,0
