"Year","Month","Day","Hour","Generacion_MWh"
"2014",12,1,1,0
"2014",12,1,2,0
"2014",12,1,3,0
"2014",12,1,4,0
"2014",12,1,5,0
"2014",12,1,6,0
"2014",12,1,7,0.07
"2014",12,1,8,7.23
"2014",12,1,9,35.36
"2014",12,1,10,57.47
"2014",12,1,11,60.89
"2014",12,1,12,60.5
"2014",12,1,13,59.89
"2014",12,1,14,52.06
"2014",12,1,15,57.42
"2014",12,1,16,57.97
"2014",12,1,17,57.98
"2014",12,1,18,57
"2014",12,1,19,46.9
"2014",12,1,20,12.7
"2014",12,1,21,0.01
"2014",12,1,22,0
"2014",12,1,23,0
"2014",12,1,24,0
"2014",12,2,1,0
"2014",12,2,2,0
"2014",12,2,3,0
"2014",12,2,4,0
"2014",12,2,5,0
"2014",12,2,6,0
"2014",12,2,7,0.04
"2014",12,2,8,5.27
"2014",12,2,9,37.68
"2014",12,2,10,54.11
"2014",12,2,11,53.63
"2014",12,2,12,56.5
"2014",12,2,13,52.14
"2014",12,2,14,44.44
"2014",12,2,15,48.75
"2014",12,2,16,49.54
"2014",12,2,17,50.24
"2014",12,2,18,49.97
"2014",12,2,19,43.47
"2014",12,2,20,12.94
"2014",12,2,21,0.01
"2014",12,2,22,0
"2014",12,2,23,0
"2014",12,2,24,0
"2014",12,3,1,0
"2014",12,3,2,0
"2014",12,3,3,0
"2014",12,3,4,0
"2014",12,3,5,0
"2014",12,3,6,0
"2014",12,3,7,0.04
"2014",12,3,8,9.12
"2014",12,3,9,33.25
"2014",12,3,10,48.91
"2014",12,3,11,58.92
"2014",12,3,12,58.09
"2014",12,3,13,56.85
"2014",12,3,14,57.81
"2014",12,3,15,56.6
"2014",12,3,16,52.69
"2014",12,3,17,58.79
"2014",12,3,18,58.72
"2014",12,3,19,49.08
"2014",12,3,20,14.24
"2014",12,3,21,0.01
"2014",12,3,22,0
"2014",12,3,23,0
"2014",12,3,24,0
"2015",1,1,1,0
"2015",1,1,2,0
"2015",1,1,3,0
"2015",1,1,4,0
"2015",1,1,5,0
"2015",1,1,6,0
"2015",1,1,7,0
"2015",1,1,8,8.84
"2015",1,1,9,47.18
"2015",1,1,10,61.53
"2015",1,1,11,61.61
"2015",1,1,12,61.17
"2015",1,1,13,60.96
"2015",1,1,14,61.95
"2015",1,1,15,61.89
"2015",1,1,16,61.43
"2015",1,1,17,59.47
"2015",1,1,18,59.5
"2015",1,1,19,52.95
"2015",1,1,20,22.74
"2015",1,1,21,0.54
"2015",1,1,22,0
"2015",1,1,23,0
"2015",1,1,24,0
"2015",1,2,1,0
"2015",1,2,2,0
"2015",1,2,3,0
"2015",1,2,4,0
"2015",1,2,5,0
"2015",1,2,6,0
"2015",1,2,7,0
"2015",1,2,8,7.26
"2015",1,2,9,41.56
"2015",1,2,10,51.73
"2015",1,2,11,60.89
"2015",1,2,12,58.89
"2015",1,2,13,60.93
"2015",1,2,14,61.43
"2015",1,2,15,60.47
"2015",1,2,16,60.02
"2015",1,2,17,52.37
"2015",1,2,18,53.31
"2015",1,2,19,50.61
"2015",1,2,20,21.71
"2015",1,2,21,0.84
"2015",1,2,22,0
"2015",1,2,23,0
"2015",1,2,24,0
"2015",1,3,1,0
"2015",1,3,2,0
"2015",1,3,3,0
"2015",1,3,4,0
"2015",1,3,5,0
"2015",1,3,6,0
"2015",1,3,7,0
"2015",1,3,8,8.06
"2015",1,3,9,46.29
"2015",1,3,10,62.29
"2015",1,3,11,63.06
"2015",1,3,12,61.72
"2015",1,3,13,61.5
"2015",1,3,14,61.47
"2015",1,3,15,60.57
"2015",1,3,16,60.59
"2015",1,3,17,57.94
"2015",1,3,18,56.4
"2015",1,3,19,42.27
"2015",1,3,20,22.89
"2015",1,3,21,0.28
"2015",1,3,22,0
"2015",1,3,23,0
"2015",1,3,24,0
"2015",1,4,1,0
"2015",1,4,2,0
"2015",1,4,3,0
"2015",1,4,4,0
"2015",1,4,5,0
"2015",1,4,6,0
"2015",1,4,7,0
"2015",1,4,8,4.84
"2015",1,4,9,45.57
"2015",1,4,10,44.26
"2015",1,4,11,38.2
"2015",1,4,12,58
"2015",1,4,13,53.74
"2015",1,4,14,42.75
"2015",1,4,15,54
"2015",1,4,16,47.44
"2015",1,4,17,39.52
"2015",1,4,18,38.19
"2015",1,4,19,20.72
"2015",1,4,20,10.51
"2015",1,4,21,0.53
"2015",1,4,22,0
"2015",1,4,23,0
"2015",1,4,24,0
"2015",1,5,1,0
"2015",1,5,2,0
"2015",1,5,3,0
"2015",1,5,4,0
"2015",1,5,5,0
"2015",1,5,6,0
"2015",1,5,7,0
"2015",1,5,8,3.7
"2015",1,5,9,24.2
"2015",1,5,10,38.66
"2015",1,5,11,46.49
"2015",1,5,12,34.62
"2015",1,5,13,38.26
"2015",1,5,14,44.28
"2015",1,5,15,41.93
"2015",1,5,16,21.2
