"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.0918277911841869
7,1,1,79.0012939439879
8,1,1,298.909952799479
9,1,1,537.27708307902
10,1,1,754.096200731066
11,1,1,928.330526563856
12,1,1,1045.39552815755
13,1,1,1095.96539476183
14,1,1,1076.0933380127
15,1,1,987.337296379937
16,1,1,836.637013753255
17,1,1,636.258764478895
18,1,1,385.846030394236
19,1,1,162.26156804959
20,1,1,12.2934514747726
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0.0597995490663581
7,2,1,66.008167081409
8,2,1,262.020644889938
9,2,1,518.207819726732
10,2,1,743.11098268297
11,2,1,909.364063686795
12,2,1,1042.74652269151
13,2,1,1093.7189839681
14,2,1,1074.29695638021
15,2,1,950.887717352973
16,2,1,812.039337158203
17,2,1,635.891384548611
18,2,1,404.145891825358
19,2,1,168.206151644389
20,2,1,12.464350382487
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0.0254008721870681
7,3,1,68.605594735903
8,3,1,271.048489491145
9,3,1,495.546249601576
10,3,1,732.841281043159
11,3,1,920.961773342556
12,3,1,1038.64196353489
13,3,1,1057.93180931939
14,3,1,1002.86384720272
15,3,1,921.649564001295
16,3,1,794.678963343302
17,3,1,634.555670844184
18,3,1,403.397193060981
19,3,1,162.488415731324
20,3,1,12.5359872149097
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0.0022787052892252
7,4,1,69.8592162330945
8,4,1,266.723604228761
9,4,1,520.171887662676
10,4,1,742.04140218099
11,4,1,916.810535007053
12,4,1,996.495276663038
13,4,1,1060.72861713833
14,4,1,1068.51641760932
15,4,1,981.444056193034
16,4,1,832.460049099392
17,4,1,621.336372269524
18,4,1,373.324729071723
19,4,1,155.809007392989
20,4,1,12.6163005166584
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,69.5251568820741
8,5,1,284.650886323717
9,5,1,499.443102624681
10,5,1,738.939555697971
11,5,1,893.722120285034
12,5,1,976.356875525581
13,5,1,1037.40367041694
14,5,1,974.51848326789
15,5,1,869.445029152764
16,5,1,776.034001668294
17,5,1,600.826521926456
18,5,1,399.690128564835
19,5,1,155.10522133112
20,5,1,11.7170654951284
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,67.4118885232343
8,6,1,281.70815955268
9,6,1,519.253320058187
10,6,1,736.772072686089
11,6,1,912.62319861518
12,6,1,1031.92219712999
13,6,1,1085.07635158963
14,6,1,1067.92095438639
15,6,1,981.768243577745
16,6,1,833.430923461914
17,6,1,635.000996907552
18,6,1,404.288155449761
19,6,1,163.246511267291
20,6,1,12.797377732065
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,64.8975398021543
8,7,1,278.528619130452
9,7,1,516.253115759956
10,7,1,734.214520772298
11,7,1,910.600039164225
12,7,1,1030.45077853733
13,7,1,1084.11711290148
14,7,1,1067.40883466933
15,7,1,981.577712164985
16,7,1,833.431634691026
17,7,1,635.054651896159
18,7,1,386.11076535119
19,7,1,168.906785753038
20,7,1,12.8056304587258
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,63.1298491739564
8,8,1,275.517524507311
9,8,1,513.525367312961
10,8,1,732.055183410645
11,8,1,909.114174736871
12,8,1,1029.65353902181
13,8,1,1047.81063291762
14,8,1,1050.45870420668
15,8,1,982.376053704156
16,8,1,827.077874077691
17,8,1,609.537943522135
18,8,1,376.552911705441
19,8,1,163.524690707525
20,8,1,12.9302538103527
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,56.9535414891111
8,9,1,260.429925507969
9,9,1,496.856965065002
10,9,1,730.534345838759
11,9,1,908.217394510905
12,9,1,999.484133402506
13,9,1,1050.57675679525
14,9,1,1054.41692182753
15,9,1,975.177540249295
16,9,1,786.059904946221
17,9,1,619.815120061239
18,9,1,373.796471132172
19,9,1,139.948462345534
20,9,1,12.3964937006434
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,50.8222955876134
8,10,1,261.240442064073
9,10,1,503.009058528476
10,10,1,715.044239468045
11,10,1,907.654568990072
12,10,1,998.151069217258
13,10,1,1063.72798792521
14,10,1,1053.33428912693
15,10,1,976.790134429932
16,10,1,837.383732265896
17,10,1,627.492542478773
18,10,1,377.708319981893
19,10,1,158.81000618471
20,10,1,12.1039402737386
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,52.7360817488386
8,11,1,254.767897897296
9,11,1,467.147059758504
10,11,1,703.811756134033
11,11,1,889.275374942356
12,11,1,1026.6607776218
13,11,1,1082.36200459798
14,11,1,1067.4147567749
15,11,1,982.960879855686
16,11,1,835.712659200033
17,11,1,637.70817650689
18,11,1,406.73254860772
