"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,56.0347473940088
8,1,1,269.121815151638
9,1,1,503.586628807916
10,1,1,718.951182047526
11,1,1,893.009914822049
12,1,1,1010.62055375841
13,1,1,1062.23287116157
14,1,1,1043.71773698595
15,1,1,956.543947007921
16,1,1,807.707894219292
17,1,1,609.62483130561
18,1,1,380.714630550808
19,1,1,145.67236313555
20,1,1,8.93630125787523
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,59.3619499173429
8,2,1,265.843416425917
9,2,1,500.029809739855
10,2,1,715.412459479438
11,2,1,889.665457831489
12,2,1,1007.60866377089
13,2,1,1059.63162061903
14,2,1,1041.60584089491
15,2,1,954.941654629177
16,2,1,806.625245836046
17,2,1,609.03834660848
18,2,1,380.593615637885
19,2,1,150.835014873081
20,2,1,9.08333713975218
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,52.747905086312
8,3,1,249.203497833676
9,3,1,460.981983820597
10,3,1,695.99187570148
11,3,1,885.528204176161
12,3,1,994.98520872328
13,3,1,1028.08836958143
14,3,1,1018.01201672024
15,3,1,952.764923095703
16,3,1,780.728244357639
17,3,1,579.684174458186
18,3,1,374.214726315604
19,3,1,150.703880574968
20,3,1,9.16825010793077
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,48.1355464309454
8,4,1,244.626455909676
9,4,1,460.267335163222
10,4,1,706.941866556803
11,4,1,881.641415066189
12,4,1,1000.37445322673
13,4,1,1009.66019185384
14,4,1,1013.52352205912
15,4,1,950.959314982096
16,4,1,803.734133402506
17,4,1,607.140713161892
18,4,1,375.641279074881
19,4,1,138.906362139516
20,4,1,9.22573376695315
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,39.5326994881034
8,5,1,214.072722613811
9,5,1,463.431929906209
10,5,1,679.86423725552
11,5,1,879.236836751302
12,5,1,955.928060809771
13,5,1,980.935196889771
14,5,1,906.568388991886
15,5,1,813.678161991967
16,5,1,723.281725936466
17,5,1,548.697180112203
18,5,1,355.156834072537
19,5,1,139.350998166535
20,5,1,9.32442774540848
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,44.6768193658985
8,6,1,223.280307816135
9,6,1,475.638823350271
10,6,1,701.61930847168
11,6,1,877.393161349826
12,6,1,997.316767374674
13,6,1,1051.55510457357
14,6,1,1035.71462249756
15,6,1,951.081000434028
16,6,1,804.470776875814
17,6,1,608.184471130371
18,6,1,380.594038221571
19,6,1,151.369637860192
20,6,1,9.40084290835592
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,49.4072681255639
8,7,1,248.994921366374
9,7,1,482.510267045763
10,7,1,698.984331766764
11,7,1,875.234119839138
12,7,1,995.676890903049
13,7,1,1050.44333648682
14,7,1,1035.08672756619
15,7,1,950.860408359104
16,7,1,804.546983506944
17,7,1,608.444683498806
18,7,1,380.919471316867
19,7,1,151.673664251963
20,7,1,9.48933575550715
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,47.8726627186148
8,8,1,246.349443435669
9,8,1,479.94974009196
10,8,1,696.785692850749
11,8,1,856.028676350911
12,8,1,985.620278676351
13,8,1,1019.29251861572
14,8,1,1035.0308142768
15,8,1,951.259129842122
16,8,1,796.627191225688
17,8,1,578.595461845398
18,8,1,381.910159640842
19,8,1,147.063421795766
20,8,1,9.64690144525634
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,41.8180268606068
8,9,1,224.211004959212
9,9,1,478.151842753092
10,9,1,695.46041531033
11,9,1,872.77641805013
12,9,1,994.377961900499
13,9,1,1050.27528127034
14,9,1,1035.97846561008
15,9,1,952.612572564019
16,9,1,806.892587449816
17,9,1,598.589147567749
18,9,1,355.298006580936
19,9,1,142.866460922692
20,9,1,9.8246205266979
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,37.2975949430321
8,10,1,223.40059445964
9,10,1,462.568373998006
10,10,1,694.722350226508
11,10,1,872.644098069933
12,10,1,994.86280907525
13,10,1,1051.32272847493
14,10,1,969.474304411146
15,10,1,879.007130093045
16,10,1,783.396517647637
17,10,1,613.132270812988
18,10,1,363.025984326998
19,10,1,139.431323018339
20,10,1,9.99952218267653
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,40.6909245683799
8,11,1,222.518126421505
9,11,1,459.511003494263
10,11,1,693.055593702528
11,11,1,871.391677856445
12,11,1,994.055077446832
13,11,1,1050.93406762017
14,11,1,1037.46668158637
15,11,1,954.727972242567
16,11,1,801.029379632738
17,11,1,597.851048893399
18,11,1,346.721304999457
19,11,1,143.379455919895
20,11,1,9.29981517812444
21,11,1,0
