"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.0464771142643359
7,1,1,61.6358310100105
8,1,1,258.393778032727
9,1,1,494.754107157389
10,1,1,720.794672648112
11,1,1,892.243304782444
12,1,1,1008.39613511827
13,1,1,1059.8401828342
14,1,1,1042.47139994303
15,1,1,957.673226250542
16,1,1,812.211214701335
17,1,1,618.176588694255
18,1,1,393.351110246446
19,1,1,164.490923369924
20,1,1,12.7766416824112
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0.0253968487183253
7,2,1,60.1609731283453
8,2,1,248.611239075661
9,2,1,490.857890923818
10,2,1,718.069214714898
11,2,1,889.822269863552
12,2,1,1006.36994594998
13,2,1,1011.99859746297
14,2,1,973.009578916762
15,2,1,904.493978288439
16,2,1,812.051602681478
17,2,1,618.408991495768
18,2,1,393.885977427165
19,2,1,166.112346331278
20,2,1,13.8920203757783
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0.00537329045538273
7,3,1,55.755959538122
8,3,1,229.445186509026
9,3,1,427.682316356235
10,3,1,624.456510437859
11,3,1,834.050428602431
12,3,1,959.289898342556
13,3,1,1025.00737126668
14,3,1,971.409995185004
15,3,1,876.315169864231
16,3,1,810.953516642253
17,3,1,593.157014316983
18,3,1,366.313775791062
19,3,1,154.548013488452
20,3,1,14.0172858905668
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,48.7426494820457
8,4,1,201.98824441433
9,4,1,425.499679088593
10,4,1,683.225450091892
11,4,1,883.017862108019
12,4,1,1000.30589463976
13,4,1,1053.15214623345
14,4,1,1037.34734259711
15,4,1,954.121519300673
16,4,1,810.165996127658
17,4,1,605.955108642578
18,4,1,384.580344968372
19,4,1,160.269328157107
20,4,1,14.1523870753331
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,39.6333174879352
8,5,1,192.334175195959
9,5,1,432.391393184662
10,5,1,657.865254190233
11,5,1,825.287231233385
12,5,1,927.553435855442
13,5,1,994.087143368191
14,5,1,1001.02919832865
15,5,1,946.293394300673
16,5,1,758.417156537374
17,5,1,575.206735610962
18,5,1,365.566541777717
19,5,1,154.103056725529
20,5,1,14.2046784862048
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,43.7770583886757
8,6,1,184.4294804732
9,6,1,413.324220074548
10,6,1,617.645869784885
11,6,1,783.688734690348
12,6,1,905.360243638357
13,6,1,974.335875670115
14,6,1,974.820887459649
15,6,1,924.795017242432
16,6,1,809.662706163194
17,6,1,617.456353929308
18,6,1,393.94942855835
19,6,1,166.755453851488
20,6,1,14.2444938423319
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,43.9412212727798
8,7,1,213.676840047042
9,7,1,454.418957657284
10,7,1,701.461300320095
11,7,1,874.964177449544
12,7,1,993.798127068414
13,7,1,1048.25314076742
14,7,1,1033.95455084907
15,7,1,952.000225490994
16,7,1,808.998875935872
17,7,1,616.902593400743
18,7,1,393.420676337348
19,7,1,166.317557546828
20,7,1,14.1831981928812
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,51.0636971961293
8,8,1,235.11985455619
9,8,1,448.488010406494
10,8,1,645.3430847062
11,8,1,808.00611893336
12,8,1,924.68727684021
13,8,1,1026.52169926961
14,8,1,1034.36346011692
15,8,1,952.824618869358
16,8,1,810.051759507921
17,8,1,617.979681650797
18,8,1,386.810672501723
19,8,1,148.026665028599
20,8,1,13.3286181667613
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,47.9973639094581
8,9,1,203.300692326493
9,9,1,408.765699598524
10,9,1,596.301387998793
11,9,1,759.780495325724
12,9,1,973.794668939379
13,9,1,994.844852871365
14,9,1,978.807321548462
15,9,1,902.491516537136
16,9,1,758.991796069675
17,9,1,592.984311527676
18,9,1,347.548834443092
19,9,1,155.035099036164
20,9,1,14.4318877266099
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,42.1922647808161
8,10,1,205.815144234233
9,10,1,437.397835095723
10,10,1,684.243760108948
11,10,1,872.626880221897
12,10,1,967.296627044678
13,10,1,1023.62984932794
14,10,1,1003.389471266
15,10,1,917.521216074626
16,10,1,813.59009636773
17,10,1,621.378806220161
18,10,1,393.793686548869
19,10,1,152.863259305557
20,10,1,14.6359105926628
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,39.4290665081806
8,11,1,202.747078610791
9,11,1,470.122825251685
10,11,1,694.04066128201
11,11,1,869.762613932292
12,11,1,990.853489345974
13,11,1,1036.04379484389
14,11,1,1012.19768312242
15,11,1,954.148697747125
16,11,1,804.110350502862
17,11,1,591.785178290473
18,11,1,395.908806271023
19,11,1,161.490321656068
