"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.154220843480693
7,1,1,70.8968205087715
8,1,1,275.16391881307
9,1,1,497.949627346463
10,1,1,703.242596944173
11,1,1,870.101135253906
12,1,1,983.989849514431
13,1,1,1035.58960639106
14,1,1,1020.74887169732
15,1,1,940.639990064833
16,1,1,794.728329764472
17,1,1,602.134631262885
18,1,1,395.653762234582
19,1,1,166.426240517033
20,1,1,20.4153384996785
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0.11457339881195
7,2,1,63.7553642839193
8,2,1,251.74140638113
9,2,1,460.035513295068
10,2,1,687.406101968553
11,2,1,869.572386847602
12,2,1,984.119883219401
13,2,1,1036.33661058214
14,2,1,1022.04578993056
15,2,1,942.375430636936
16,2,1,803.7152472602
17,2,1,617.685683356391
18,2,1,401.256974538167
19,2,1,180.203777949015
20,2,1,20.862513081895
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0.0993698839512136
7,3,1,60.2183120697737
8,3,1,221.500831895404
9,3,1,420.493670278125
10,3,1,672.00505595737
11,3,1,868.724088880751
12,3,1,983.802881028917
13,3,1,1036.510887146
14,3,1,1022.65940433078
15,3,1,943.34184773763
16,3,1,804.909096611871
17,3,1,618.964711507161
18,3,1,402.459255218506
19,3,1,181.140231026544
20,3,1,20.8701704098947
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0.0805568003820048
7,4,1,68.8651302655538
8,4,1,268.572675704956
9,4,1,491.968877580431
10,4,1,698.470520867242
11,4,1,866.816887749566
12,4,1,982.353155348036
13,4,1,1035.52342563205
14,4,1,1022.12868075901
15,4,1,943.228142632378
16,4,1,805.136021931966
17,4,1,619.439572652181
18,4,1,403.062713623047
19,4,1,181.712697876824
20,4,1,21.350146068467
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0.0589632118741671
7,5,1,63.5925639155838
8,5,1,265.306662453545
9,5,1,488.508205413818
10,5,1,695.106085035536
11,5,1,863.714952256944
12,5,1,951.380964914958
13,5,1,1014.17112604777
14,5,1,1020.26160769992
15,5,1,900.972865634494
16,5,1,765.630608452691
17,5,1,606.735468334622
18,5,1,379.847777313656
19,5,1,173.788284672631
20,5,1,19.8563596490357
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0.0339248288849679
7,6,1,57.2834315306197
8,6,1,251.922130174107
9,6,1,484.722095913357
10,6,1,691.48584069146
11,6,1,860.445103115506
12,6,1,976.790411207411
13,6,1,1030.90878126356
14,6,1,1018.48122914632
15,6,1,940.486747741699
16,6,1,803.18031056722
17,6,1,618.113052368164
18,6,1,402.207913716634
19,6,1,181.244135432773
20,6,1,21.2917198141416
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0.0188340112670428
7,7,1,50.8590287483401
8,7,1,214.864097913106
9,7,1,462.89725473192
10,7,1,688.967477586534
11,7,1,858.486627366808
12,7,1,975.443153381348
13,7,1,1030.1864022149
14,7,1,1018.30640326606
15,7,1,940.751842922635
16,7,1,803.737580193414
17,7,1,618.784750620524
18,7,1,402.812728881836
19,7,1,181.622817569309
20,7,1,21.3769433233473
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0.00298143374837107
7,8,1,55.7549312031931
8,8,1,236.143552660942
9,8,1,444.716391616397
10,8,1,675.275407155355
11,8,1,858.340425279405
12,8,1,976.046888563368
13,8,1,1031.46669684516
14,8,1,1020.1102871365
15,8,1,942.906405978733
16,8,1,806.031212700738
17,8,1,620.974013434516
18,8,1,404.644069247776
19,8,1,182.81528102027
20,8,1,21.6471603678332
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,50.2994770093097
8,9,1,230.265901611911
9,9,1,443.520274029838
10,9,1,651.90538459354
11,9,1,858.992531670464
12,9,1,921.917651706272
13,9,1,946.442479875353
14,9,1,994.434826744927
15,9,1,906.475458357069
16,9,1,787.115207460192
17,9,1,585.514502313402
18,9,1,347.348891324467
19,9,1,149.30585444967
20,9,1,18.9136496500836
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,51.7390622811185
8,10,1,192.342143813769
9,10,1,444.517434755961
10,10,1,686.52904510498
11,10,1,843.730402628581
12,10,1,976.962041219076
13,10,1,1033.35891215007
14,10,1,1022.76358201769
15,10,1,936.928343243069
16,10,1,756.132820447286
17,10,1,607.121418317159
18,10,1,407.100290934245
19,10,1,184.316220495436
20,10,1,21.9341243207455
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,46.240418969757
8,11,1,223.885098338127
9,11,1,467.90246714486
10,11,1,681.73351626926
11,11,1,853.238097296821
12,11,1,972.235847473145
13,11,1,1028.79310099284
14,11,1,1018.45402187771
15,11,1,942.005120171441
16,11,1,805.60011461046
17,11,1,620.711702558729
