"Year","Month","Day","Hour","Generacion_MWh"
"2014",5,29,1,0
"2014",5,29,2,0
"2014",5,29,3,0
"2014",5,29,4,0
"2014",5,29,5,0
"2014",5,29,6,0
"2014",5,29,7,0
"2014",5,29,8,0.5
"2014",5,29,9,10.8
"2014",5,29,10,33
"2014",5,29,11,41
"2014",5,29,12,48.4
"2014",5,29,13,54.3
"2014",5,29,14,57.2
"2014",5,29,15,58.9
"2014",5,29,16,56.8
"2014",5,29,17,41.8
"2014",5,29,18,6.9
"2014",5,29,19,0
"2014",5,29,20,0
"2014",5,29,21,0
"2014",5,29,22,0
"2014",5,29,23,0
"2014",5,29,24,0
"2014",6,1,1,0
"2014",6,1,2,0
"2014",6,1,3,0
"2014",6,1,4,0
"2014",6,1,5,0
"2014",6,1,6,0
"2014",6,1,7,0
"2014",6,1,8,1.2
"2014",6,1,9,33.7
"2014",6,1,10,58.6
"2014",6,1,11,60.1
"2014",6,1,12,56.7
"2014",6,1,13,56.9
"2014",6,1,14,58.6
"2014",6,1,15,60.6
"2014",6,1,16,60
"2014",6,1,17,47.9
"2014",6,1,18,8.1
"2014",6,1,19,0
"2014",6,1,20,0
"2014",6,1,21,0
"2014",6,1,22,0
"2014",6,1,23,0
"2014",6,1,24,0
"2014",6,2,1,0
"2014",6,2,2,0
"2014",6,2,3,0
"2014",6,2,4,0
"2014",6,2,5,0
"2014",6,2,6,0
"2014",6,2,7,0
"2014",6,2,8,1.3
"2014",6,2,9,28.5
"2014",6,2,10,56.9
"2014",6,2,11,59.4
"2014",6,2,12,58
"2014",6,2,13,57
"2014",6,2,14,57.9
"2014",6,2,15,59.6
"2014",6,2,16,60.9
"2014",6,2,17,47.8
"2014",6,2,18,7.7
"2014",6,2,19,0
"2014",6,2,20,0
"2014",6,2,21,0
"2014",6,2,22,0
"2014",6,2,23,0
"2014",6,2,24,0
"2014",6,3,1,0
"2014",6,3,2,0
"2014",6,3,3,0
"2014",6,3,4,0
"2014",6,3,5,0
"2014",6,3,6,0
"2014",6,3,7,0
"2014",6,3,8,0.4
"2014",6,3,9,3.1
"2014",6,3,10,6.2
"2014",6,3,11,16.4
"2014",6,3,12,56.1
"2014",6,3,13,52.6
"2014",6,3,14,58
"2014",6,3,15,54.9
"2014",6,3,16,51.4
"2014",6,3,17,36.4
"2014",6,3,18,4.9
"2014",6,3,19,0
"2014",6,3,20,0
"2014",6,3,21,0
"2014",6,3,22,0
"2014",6,3,23,0
"2014",6,3,24,0
"2014",6,4,1,0
"2014",6,4,2,0
"2014",6,4,3,0
"2014",6,4,4,0
"2014",6,4,5,0
"2014",6,4,6,0
"2014",6,4,7,0
"2014",6,4,8,0.5
"2014",6,4,9,27.3
"2014",6,4,10,57.6
"2014",6,4,11,62.1
"2014",6,4,12,60.3
"2014",6,4,13,58.7
"2014",6,4,14,59.6
"2014",6,4,15,61.8
"2014",6,4,16,60.7
"2014",6,4,17,46.4
"2014",6,4,18,7.1
"2014",6,4,19,0
"2014",6,4,20,0
"2014",6,4,21,0
"2014",6,4,22,0
"2014",6,4,23,0
"2014",6,4,24,0
"2014",6,5,1,0
"2014",6,5,2,0
"2014",6,5,3,0
"2014",6,5,4,0
"2014",6,5,5,0
"2014",6,5,6,0
"2014",6,5,7,0
"2014",6,5,8,1
"2014",6,5,9,30.8
"2014",6,5,10,57.9
"2014",6,5,11,61.2
"2014",6,5,12,59.6
"2014",6,5,13,56.9
"2014",6,5,14,58.9
"2014",6,5,15,60.6
"2014",6,5,16,60.4
"2014",6,5,17,47.2
"2014",6,5,18,7.4
"2014",6,5,19,0
"2014",6,5,20,0
"2014",6,5,21,0
"2014",6,5,22,0
"2014",6,5,23,0
"2014",6,5,24,0
"2014",6,6,1,0
"2014",6,6,2,0
"2014",6,6,3,0
"2014",6,6,4,0
"2014",6,6,5,0
"2014",6,6,6,0
"2014",6,6,7,0
"2014",6,6,8,0.9
"2014",6,6,9,18.8
"2014",6,6,10,47
"2014",6,6,11,61.1
"2014",6,6,12,58.5
"2014",6,6,13,59.2
"2014",6,6,14,59.6
"2014",6,6,15,61
"2014",6,6,16,60.6
"2014",6,6,17,42.2
"2014",6,6,18,4.4
"2014",6,6,19,0
"2014",6,6,20,0
"2014",6,6,21,0
"2014",6,6,22,0
"2014",6,6,23,0
"2014",6,6,24,0
"2014",6,7,1,0
"2014",6,7,2,0
"2014",6,7,3,0
"2014",6,7,4,0
"2014",6,7,5,0
"2014",6,7,6,0
"2014",6,7,7,0
"2014",6,7,8,0.9
"2014",6,7,9,31.2
"2014",6,7,10,58.8
"2014",6,7,11,61.6
"2014",6,7,12,59.9
"2014",6,7,13,58.9
"2014",6,7,14,59.5
"2014",6,7,15,62.1
"2014",6,7,16,62.1
"2014",6,7,17,48.1
"2014",6,7,18,7.4
"2014",6,7,19,0
"2014",6,7,20,0
"2014",6,7,21,0
"2014",6,7,22,0
"2014",6,7,23,0
"2014",6,7,24,0
"2014",6,8,1,0
"2014",6,8,2,0
"2014",6,8,3,0
"2014",6,8,4,0
"2014",6,8,5,0
"2014",6,8,6,0
"2014",6,8,7,0
"2014",6,8,8,0.8
"2014",6,8,9,30.4
"2014",6,8,10,58.1
"2014",6,8,11,61.3
"2014",6,8,12,58.5
"2014",6,8,13,57.1
"2014",6,8,14,58.7
"2014",6,8,15,61.5
"2014",6,8,16,60.6
"2014",6,8,17,48.1
"2014",6,8,18,7.5
"2014",6,8,19,0
"2014",6,8,20,0
"2014",6,8,21,0
"2014",6,8,22,0
"2014",6,8,23,0
"2014",6,8,24,0
"2014",6,9,1,0
"2014",6,9,2,0
"2014",6,9,3,0
"2014",6,9,4,0
"2014",6,9,5,0
"2014",6,9,6,0
"2014",6,9,7,0
"2014",6,9,8,0.8
"2014",6,9,9,29.9
"2014",6,9,10,56.5
"2014",6,9,11,60
"2014",6,9,12,58.2
"2014",6,9,13,56.6
"2014",6,9,14,57.1
"2014",6,9,15,60.5
"2014",6,9,16,60.2
"2014",6,9,17,47.5
"2014",6,9,18,7.5
"2014",6,9,19,0
"2014",6,9,20,0
"2014",6,9,21,0
"2014",6,9,22,0
"2014",6,9,23,0
"2014",6,9,24,0
"2014",6,10,1,0
"2014",6,10,2,0
"2014",6,10,3,0
"2014",6,10,4,0
"2014",6,10,5,0
"2014",6,10,6,0
"2014",6,10,7,0
"2014",6,10,8,0.8
"2014",6,10,9,10.4
"2014",6,10,10,45.1
"2014",6,10,11,46.9
"2014",6,10,12,30.2
"2014",6,10,13,28
"2014",6,10,14,36.8
"2014",6,10,15,59.1
"2014",6,10,16,59.8
"2014",6,10,17,47.5
"2014",6,10,18,7.4
"2014",6,10,19,0
"2014",6,10,20,0
"2014",6,10,21,0
"2014",6,10,22,0
"2014",6,10,23,0
"2014",6,10,24,0
"2014",6,11,1,0
"2014",6,11,2,0
"2014",6,11,3,0
"2014",6,11,4,0
"2014",6,11,5,0
"2014",6,11,6,0
"2014",6,11,7,0
"2014",6,11,8,0.7
"2014",6,11,9,28.6
"2014",6,11,10,56.4
"2014",6,11,11,61.1
"2014",6,11,12,57.5
"2014",6,11,13,54.2
"2014",6,11,14,58.2
"2014",6,11,15,61.2
"2014",6,11,16,59.9
"2014",6,11,17,27.6
"2014",6,11,18,6.4
"2014",6,11,19,0
"2014",6,11,20,0
"2014",6,11,21,0
"2014",6,11,22,0
"2014",6,11,23,0
"2014",6,11,24,0
"2014",6,12,1,0
"2014",6,12,2,0
"2014",6,12,3,0
"2014",6,12,4,0
"2014",6,12,5,0
"2014",6,12,6,0
"2014",6,12,7,0
"2014",6,12,8,1.1
"2014",6,12,9,29.9
"2014",6,12,10,58.1
"2014",6,12,11,62
"2014",6,12,12,59.2
"2014",6,12,13,57.8
"2014",6,12,14,57.9
"2014",6,12,15,48.1
"2014",6,12,16,40.9
"2014",6,12,17,20.2
"2014",6,12,18,6.5
"2014",6,12,19,0
"2014",6,12,20,0
"2014",6,12,21,0
"2014",6,12,22,0
"2014",6,12,23,0
"2014",6,12,24,0
"2014",6,13,1,0
"2014",6,13,2,0
"2014",6,13,3,0
"2014",6,13,4,0
"2014",6,13,5,0
"2014",6,13,6,0
"2014",6,13,7,0
"2014",6,13,8,0.6
"2014",6,13,9,28.6
"2014",6,13,10,57.3
"2014",6,13,11,58
"2014",6,13,12,55.2
"2014",6,13,13,56.3
"2014",6,13,14,57.5
"2014",6,13,15,59.7
"2014",6,13,16,59.2
"2014",6,13,17,46.2
"2014",6,13,18,7.4
"2014",6,13,19,0
"2014",6,13,20,0
"2014",6,13,21,0
"2014",6,13,22,0
"2014",6,13,23,0
"2014",6,13,24,0
"2014",6,14,1,0
"2014",6,14,2,0
"2014",6,14,3,0
"2014",6,14,4,0
"2014",6,14,5,0
"2014",6,14,6,0
"2014",6,14,7,0
"2014",6,14,8,0.6
"2014",6,14,9,27.6
"2014",6,14,10,55.1
"2014",6,14,11,57.4
"2014",6,14,12,54.3
"2014",6,14,13,54.4
"2014",6,14,14,55.3
"2014",6,14,15,57.7
"2014",6,14,16,56.5
"2014",6,14,17,39.5
"2014",6,14,18,6.3
"2014",6,14,19,0
"2014",6,14,20,0
"2014",6,14,21,0
"2014",6,14,22,0
"2014",6,14,23,0
"2014",6,14,24,0
"2014",6,15,1,0
"2014",6,15,2,0
"2014",6,15,3,0
"2014",6,15,4,0
"2014",6,15,5,0
"2014",6,15,6,0
"2014",6,15,7,0
"2014",6,15,8,0.6
"2014",6,15,9,27.1
"2014",6,15,10,54.6
"2014",6,15,11,57.7
"2014",6,15,12,53.8
"2014",6,15,13,50.6
"2014",6,15,14,55.7
"2014",6,15,15,56.5
"2014",6,15,16,57.7
"2014",6,15,17,44.2
"2014",6,15,18,7.4
"2014",6,15,19,0
"2014",6,15,20,0
