"Year","Month","Day","Hour","Generacion_MWh"
"2016",4,8,1,0
"2016",4,8,2,0
"2016",4,8,3,0
"2016",4,8,4,0
"2016",4,8,5,0
"2016",4,8,6,0
"2016",4,8,7,0
"2016",4,8,8,0
"2016",4,8,9,5.1
"2016",4,8,10,18.6
"2016",4,8,11,23.3
"2016",4,8,12,29.5
"2016",4,8,13,30.9
"2016",4,8,14,30.1
"2016",4,8,15,29.9
"2016",4,8,16,29.9
"2016",4,8,17,29.9
"2016",4,8,18,28.8
"2016",4,8,19,16.9
"2016",4,8,20,1.1
"2016",4,8,21,0
"2016",4,8,22,0
"2016",4,8,23,0
"2016",4,8,24,0
"2016",4,9,1,0
"2016",4,9,2,0
"2016",4,9,3,0
"2016",4,9,4,0
"2016",4,9,5,0
"2016",4,9,6,0
"2016",4,9,7,0
"2016",4,9,8,0
"2016",4,9,9,4.9
"2016",4,9,10,22.1
"2016",4,9,11,29.7
"2016",4,9,12,29.9
"2016",4,9,13,29.9
"2016",4,9,14,29.9
"2016",4,9,15,29.9
"2016",4,9,16,29.9
"2016",4,9,17,29.9
"2016",4,9,18,28.9
"2016",4,9,19,16.9
"2016",4,9,20,1.1
"2016",4,9,21,0
"2016",4,9,22,0
"2016",4,9,23,0
"2016",4,9,24,0
"2016",4,10,1,0
"2016",4,10,2,0
"2016",4,10,3,0
"2016",4,10,4,0
"2016",4,10,5,0
"2016",4,10,6,0
"2016",4,10,7,0
"2016",4,10,8,0
"2016",4,10,9,5.1
"2016",4,10,10,22
"2016",4,10,11,29.1
"2016",4,10,12,30.4
"2016",4,10,13,30.8
"2016",4,10,14,30.6
"2016",4,10,15,29.8
"2016",4,10,16,29.4
"2016",4,10,17,27.5
"2016",4,10,18,23.6
"2016",4,10,19,8.3
"2016",4,10,20,0.2
"2016",4,10,21,0
"2016",4,10,22,0
"2016",4,10,23,0
"2016",4,10,24,0
"2016",4,11,1,0
"2016",4,11,2,0
"2016",4,11,3,0
"2016",4,11,4,0
"2016",4,11,5,0
"2016",4,11,6,0
"2016",4,11,7,0
"2016",4,11,8,0
"2016",4,11,9,1.2
"2016",4,11,10,10.8
