"Year","Month","Day","Hour","Generacion_MWh"
"2014",2,18,1,0
"2014",2,18,2,0
"2014",2,18,3,0
"2014",2,18,4,0
"2014",2,18,5,0
"2014",2,18,6,0
"2014",2,18,7,0
"2014",2,18,8,0
"2014",2,18,9,0.3
"2014",2,18,10,1.26
"2014",2,18,11,7.12
"2014",2,18,12,9.24
"2014",2,18,13,9.38
"2014",2,18,14,7.91
"2014",2,18,15,1.06
"2014",2,18,16,1.45
"2014",2,18,17,2.51
"2014",2,18,18,2.24
"2014",2,18,19,3.14
"2014",2,18,20,1.64
"2014",2,18,21,0.02
"2014",2,18,22,0
"2014",2,18,23,0
"2014",2,18,24,0
"2014",2,19,1,0
"2014",2,19,2,0
"2014",2,19,3,0
"2014",2,19,4,0
"2014",2,19,5,0
"2014",2,19,6,0
"2014",2,19,7,0
"2014",2,19,8,0
"2014",2,19,9,0.4
"2014",2,19,10,1
"2014",2,19,11,5.1
"2014",2,19,12,7
"2014",2,19,13,8
"2014",2,19,14,9.3
"2014",2,19,15,9.5
"2014",2,19,16,11.7
"2014",2,19,17,11.1
"2014",2,19,18,15.1
"2014",2,19,19,16
"2014",2,19,20,6.8
"2014",2,19,21,0.2
"2014",2,19,22,0
"2014",2,19,23,0
"2014",2,19,24,0
"2014",2,20,1,0
"2014",2,20,2,0
"2014",2,20,3,0
"2014",2,20,4,0
"2014",2,20,5,0
"2014",2,20,6,0
"2014",2,20,7,0
"2014",2,20,8,0.2
"2014",2,20,9,5
"2014",2,20,10,13.4
"2014",2,20,11,16.7
"2014",2,20,12,16.5
"2014",2,20,13,16.9
"2014",2,20,14,19.4
"2014",2,20,15,17.5
"2014",2,20,16,17.3
"2014",2,20,17,16.7
"2014",2,20,18,15.4
"2014",2,20,19,15.1
"2014",2,20,20,6.6
"2014",2,20,21,0.1
"2014",2,20,22,0
"2014",2,20,23,0
"2014",2,20,24,0
"2014",2,21,1,0
"2014",2,21,2,0
"2014",2,21,3,0
"2014",2,21,4,0
"2014",2,21,5,0
"2014",2,21,6,0
"2014",2,21,7,0
"2014",2,21,8,0.2
"2014",2,21,9,6.6
"2014",2,21,10,14.9
"2014",2,21,11,3.9
"2014",2,21,12,0
"2014",2,21,13,0
"2014",2,21,14,0
"2014",2,21,15,0
"2014",2,21,16,0
"2014",2,21,17,0
"2014",2,21,18,0
"2014",2,21,19,0
"2014",2,21,20,0
"2014",2,21,21,0
"2014",2,21,22,0
"2014",2,21,23,0
"2014",2,21,24,0
"2014",2,22,1,0
"2014",2,22,2,0
"2014",2,22,3,0
"2014",2,22,4,0
"2014",2,22,5,0
"2014",2,22,6,0
"2014",2,22,7,0
"2014",2,22,8,0.2
"2014",2,22,9,5.7
"2014",2,22,10,13.6
"2014",2,22,11,14.6
"2014",2,22,12,16.1
"2014",2,22,13,17
"2014",2,22,14,17.7
"2014",2,22,15,21.4
"2014",2,22,16,20.2
"2014",2,22,17,19.5
"2014",2,22,18,20
"2014",2,22,19,17.4
"2014",2,22,20,7.1
"2014",2,22,21,0.1
"2014",2,22,22,0
"2014",2,22,23,0
"2014",2,22,24,0
"2014",2,23,1,0
"2014",2,23,2,0
"2014",2,23,3,0
"2014",2,23,4,0
"2014",2,23,5,0
"2014",2,23,6,0
"2014",2,23,7,0
"2014",2,23,8,0.2
"2014",2,23,9,6.6
"2014",2,23,10,13.9
"2014",2,23,11,11
"2014",2,23,12,13.7
"2014",2,23,13,17.2
"2014",2,23,14,12.9
"2014",2,23,15,15.7
"2014",2,23,16,19.8
"2014",2,23,17,18.8
"2014",2,23,18,17.3
"2014",2,23,19,13.7
"2014",2,23,20,4.8
"2014",2,23,21,0.1
"2014",2,23,22,0
"2014",2,23,23,0
"2014",2,23,24,0
"2014",2,24,1,0
"2014",2,24,2,0
"2014",2,24,3,0
"2014",2,24,4,0
"2014",2,24,5,0
"2014",2,24,6,0
"2014",2,24,7,0
"2014",2,24,8,0
"2014",2,24,9,0
"2014",2,24,10,0
"2014",2,24,11,0.6
"2014",2,24,12,5.1
"2014",2,24,13,0
"2014",2,24,14,0
"2014",2,24,15,0
"2014",2,24,16,0
"2014",2,24,17,0
"2014",2,24,18,0
"2014",2,24,19,0
"2014",2,24,20,0
"2014",2,24,21,0
"2014",2,24,22,0
"2014",2,24,23,0
"2014",2,24,24,0
"2014",2,25,1,0
"2014",2,25,2,0
"2014",2,25,3,0
"2014",2,25,4,0
"2014",2,25,5,0
"2014",2,25,6,0
"2014",2,25,7,0
"2014",2,25,8,0.1
"2014",2,25,9,4.5
"2014",2,25,10,12.1
"2014",2,25,11,18.7
"2014",2,25,12,26.6
"2014",2,25,13,27
"2014",2,25,14,25.7
"2014",2,25,15,27.5
"2014",2,25,16,28
"2014",2,25,17,26.9
"2014",2,25,18,23.7
"2014",2,25,19,18.4
"2014",2,25,20,6.1
"2014",2,25,21,0.1
"2014",2,25,22,0
"2014",2,25,23,0
"2014",2,25,24,0
"2014",2,26,1,0
"2014",2,26,2,0
"2014",2,26,3,0
"2014",2,26,4,0
"2014",2,26,5,0
"2014",2,26,6,0
"2014",2,26,7,0
"2014",2,26,8,0.1
"2014",2,26,9,3.8
"2014",2,26,10,13.8
"2014",2,26,11,21.4
"2014",2,26,12,20.1
"2014",2,26,13,21.7
"2014",2,26,14,16.6
"2014",2,26,15,19.2
"2014",2,26,16,18.9
"2014",2,26,17,18.5
"2014",2,26,18,18.8
"2014",2,26,19,16.4
"2014",2,26,20,5.9
"2014",2,26,21,0.1
"2014",2,26,22,0
"2014",2,26,23,0
"2014",2,26,24,0
"2014",2,27,1,0
"2014",2,27,2,0
"2014",2,27,3,0
"2014",2,27,4,0
"2014",2,27,5,0
"2014",2,27,6,0
"2014",2,27,7,0
"2014",2,27,8,0.1
"2014",2,27,9,6.6
"2014",2,27,10,20.1
"2014",2,27,11,27.9
"2014",2,27,12,29.7
"2014",2,27,13,31.2
"2014",2,27,14,31
"2014",2,27,15,27.9
"2014",2,27,16,25.9
"2014",2,27,17,21.9
"2014",2,27,18,20.5
"2014",2,27,19,16.2
"2014",2,27,20,5.4
"2014",2,27,21,0
"2014",2,27,22,0
"2014",2,27,23,0
"2014",2,27,24,0
"2014",2,28,1,0
"2014",2,28,2,0
"2014",2,28,3,0
"2014",2,28,4,0
"2014",2,28,5,0
"2014",2,28,6,0
"2014",2,28,7,0
"2014",2,28,8,0.1
"2014",2,28,9,6.4
"2014",2,28,10,20.9
"2014",2,28,11,27.2
"2014",2,28,12,28.4
"2014",2,28,13,29.7
"2014",2,28,14,29.2
"2014",2,28,15,26.6
"2014",2,28,16,25.1
"2014",2,28,17,26
"2014",2,28,18,25.2
"2014",2,28,19,19
"2014",2,28,20,5.8
"2014",2,28,21,0
"2014",2,28,22,0
"2014",2,28,23,0
"2014",2,28,24,0
"2014",3,1,1,0
"2014",3,1,2,0
"2014",3,1,3,0
"2014",3,1,4,0
"2014",3,1,5,0
"2014",3,1,6,0
"2014",3,1,7,0
"2014",3,1,8,0
"2014",3,1,9,2.6
"2014",3,1,10,17
"2014",3,1,11,6.4
"2014",3,1,12,9
"2014",3,1,13,27.5
"2014",3,1,14,30.9
"2014",3,1,15,31
"2014",3,1,16,29.2
"2014",3,1,17,29.7
"2014",3,1,18,26.8
"2014",3,1,19,19.9
"2014",3,1,20,5.8
"2014",3,1,21,0
"2014",3,1,22,0
"2014",3,1,23,0
"2014",3,1,24,0
"2014",3,2,1,0
"2014",3,2,2,0
"2014",3,2,3,0
"2014",3,2,4,0
"2014",3,2,5,0
"2014",3,2,6,0
"2014",3,2,7,0
"2014",3,2,8,0
"2014",3,2,9,1.1
"2014",3,2,10,1.9
"2014",3,2,11,3.3
"2014",3,2,12,9.2
"2014",3,2,13,32.5
"2014",3,2,14,36
"2014",3,2,15,36
"2014",3,2,16,35
"2014",3,2,17,32.6
"2014",3,2,18,28.9
"2014",3,2,19,21.3
"2014",3,2,20,6.1
"2014",3,2,21,0
"2014",3,2,22,0
"2014",3,2,23,0
"2014",3,2,24,0
"2014",3,3,1,0
"2014",3,3,2,0
"2014",3,3,3,0
"2014",3,3,4,0
"2014",3,3,5,0
"2014",3,3,6,0
"2014",3,3,7,0
"2014",3,3,8,0.1
"2014",3,3,9,7
"2014",3,3,10,23.5
"2014",3,3,11,30.1
"2014",3,3,12,32.9
"2014",3,3,13,35.7
