"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,35.2921329206891
8,1,1,219.294898562961
9,1,1,448.293148464627
10,1,1,661.974213494195
11,1,1,835.226186116536
12,1,1,951.909764607747
13,1,1,1002.0834197998
14,1,1,981.568563673231
15,1,1,892.060974968804
16,1,1,741.056537204319
17,1,1,530.482573085361
18,1,1,310.170305199093
19,1,1,95.3365874671274
20,1,1,1.38621099712327
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,31.5967109209547
8,2,1,195.328535397848
9,2,1,442.396901024712
10,2,1,660.854699028863
11,2,1,834.537957085503
12,2,1,951.714954800076
13,2,1,1002.37068091498
14,2,1,982.307744344076
15,2,1,893.179456075033
16,2,1,719.255962583754
17,2,1,506.177627298567
18,2,1,264.982319778866
19,2,1,76.2426439225674
20,2,1,1.32291744573862
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,27.7541342121032
8,3,1,181.086085205277
9,3,1,413.030422429244
10,3,1,657.443775600857
11,3,1,831.26537322998
12,3,1,948.72883605957
13,3,1,999.750652737088
14,3,1,980.112076653375
15,3,1,891.432356940375
16,3,1,711.253700468275
17,3,1,490.857142077552
18,3,1,272.13310845693
19,3,1,86.2289255174498
20,3,1,1.47214939357299
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,23.8011347085186
8,4,1,153.829936868615
9,4,1,396.592719448937
10,4,1,651.412588331434
11,4,1,825.209781222873
12,4,1,897.39032374488
13,4,1,896.376881069607
14,4,1,918.359046088325
15,4,1,755.190450456407
16,4,1,648.146785312229
17,4,1,511.55385737949
18,4,1,235.360151198175
19,4,1,71.2664723801944
20,4,1,1.44885009868691
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,25.8186600850895
8,5,1,172.339509050051
9,5,1,371.547129869461
10,5,1,632.246189223396
11,5,1,820.823328653971
12,5,1,907.193557315403
13,5,1,924.89884991116
14,5,1,935.182053460015
15,5,1,849.029986275567
16,5,1,694.530830701192
17,5,1,502.7855981191
18,5,1,231.540692011515
19,5,1,71.962832312617
20,5,1,1.36221751566498
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,26.0831527596779
8,6,1,161.673610270023
9,6,1,384.800821582476
10,6,1,643.879256354438
11,6,1,748.482264624702
12,6,1,843.587873246935
13,6,1,941.737518840366
14,6,1,884.954928927951
15,6,1,795.639809926351
16,6,1,688.172142876519
17,6,1,487.228920956453
18,6,1,282.397479683161
19,6,1,67.1166419829759
20,6,1,1.5709286906446
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,22.7611553686567
8,7,1,163.987415936258
9,7,1,385.080689695146
10,7,1,608.310850037469
11,7,1,817.725629170736
12,7,1,937.249462551541
13,7,1,990.554179721408
14,7,1,951.028073416816
15,7,1,824.430142402649
16,7,1,599.455669542154
17,7,1,436.640796211031
18,7,1,189.652219229274
19,7,1,60.4467766187671
20,7,1,1.56428758290874
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,22.1898991624928
8,8,1,161.214136282603
9,8,1,365.005961596966
10,8,1,617.025864150789
11,8,1,798.961403316922
12,8,1,923.52166112264
13,8,1,920.018589019775
14,8,1,937.263811747233
15,8,1,835.985638300578
16,8,1,712.214877287547
17,8,1,486.750646511714
18,8,1,281.044531093703
19,8,1,70.7130230160223
20,8,1,1.53891316710764
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,19.3665099355082
8,9,1,159.043598820766
9,9,1,378.530764871173
10,9,1,625.22712802887
11,9,1,814.695578681098
12,9,1,935.292764451769
13,9,1,989.656159294976
14,9,1,973.257564968533
15,9,1,878.268870035807
16,9,1,649.098785294427
17,9,1,433.730825185776
18,9,1,221.755587604311
19,9,1,52.8889666398366
20,9,1,1.77844061288569
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,19.7139655689373
8,10,1,153.986629472839
9,10,1,400.38757956028
10,10,1,639.165724012587
11,10,1,816.370976765951
12,10,1,911.826190524631
13,10,1,914.470476018058
14,10,1,910.066720697615
15,10,1,793.999497731527
16,10,1,630.392954296536
17,10,1,385.89286046558
18,10,1,203.646628750695
19,10,1,80.9279760917028
20,10,1,1.91537731016676
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,20.4920272317249
8,11,1,149.808294529716
9,11,1,325.632829553551
10,11,1,518.960061947505
11,11,1,783.753115653992
12,11,1,942.089056226942
13,11,1,997.80834197998
14,11,1,982.483791775174
15,11,1,897.368708292643
16,11,1,742.355386098226
17,11,1,527.816536744436
18,11,1,246.717350439893
19,11,1,74.7067688852549
20,11,1,1.88081411662925
21,11,1,0
22,11,1,0
23,11,1,0
