"Year","Month","Day","Hour","Generacion_MWh"
"2016",5,13,4,0
"2016",5,13,5,0
"2016",5,13,6,0
"2016",5,13,7,0
"2016",5,13,8,0
"2016",5,13,9,0.1
"2016",5,13,10,1.1
"2016",5,13,11,2.5
"2016",5,13,12,3.5
"2016",5,13,13,4.2
"2016",5,13,14,4.6
"2016",5,13,15,4.4
"2016",5,13,16,4.1
"2016",5,13,17,3.5
"2016",5,13,18,2
"2016",5,13,19,0.4
"2016",5,13,20,0
"2016",5,13,21,0
"2016",5,13,22,0
"2016",5,13,23,0
"2016",5,13,24,0
"2016",5,14,1,0
"2016",5,14,2,0
"2016",5,14,3,0
"2016",5,14,4,0
"2016",5,14,5,0
"2016",5,14,6,0
"2016",5,14,7,0
"2016",5,14,8,0
"2016",5,14,9,0
"2016",5,14,10,1.1
"2016",5,14,11,2.7
"2016",5,14,12,3.9
"2016",5,14,13,4.8
"2016",5,14,14,5.3
"2016",5,14,15,5.3
"2016",5,14,16,4.6
"2016",5,14,17,3.4
"2016",5,14,18,2
"2016",5,14,19,0.4
"2016",5,14,20,0
"2016",5,14,21,0
"2016",5,14,22,0
"2016",5,14,23,0
"2016",5,14,24,0
"2016",5,14,25,0
"2016",5,15,1,0
"2016",5,15,2,0
"2016",5,15,3,0
"2016",5,15,4,0
"2016",5,15,5,0
"2016",5,15,6,0
"2016",5,15,7,0
"2016",5,15,8,0
"2016",5,15,9,0
"2016",5,15,10,0
"2016",5,15,11,0
"2016",5,15,12,0
"2016",5,15,13,0
"2016",5,15,14,0
"2016",5,15,15,0
"2016",5,15,16,0
"2016",5,15,17,0
"2016",5,15,18,0
"2016",5,15,19,0
"2016",5,15,20,0
"2016",5,15,21,0
"2016",5,15,22,0
"2016",5,15,23,0
"2016",5,15,24,0
"2016",5,16,1,0
"2016",5,16,2,0
"2016",5,16,3,0
"2016",5,16,4,0
"2016",5,16,5,0
"2016",5,16,6,0
"2016",5,16,7,0
"2016",5,16,8,0
"2016",5,16,9,1
"2016",5,16,10,2.4
"2016",5,16,11,3.7
"2016",5,16,12,4.7
"2016",5,16,13,5
"2016",5,16,14,4.6
"2016",5,16,15,3.9
"2016",5,16,16,2.9
"2016",5,16,17,1.8
"2016",5,16,18,0.3
"2016",5,16,19,0
"2016",5,16,20,0
"2016",5,16,21,0
"2016",5,16,22,0
"2016",5,16,23,0
"2016",5,16,24,0
"2016",5,17,1,0
"2016",5,17,2,0
"2016",5,17,3,0
"2016",5,17,4,0
"2016",5,17,5,0
"2016",5,17,6,0
"2016",5,17,7,0
"2016",5,17,8,0
"2016",5,17,9,1.3
"2016",5,17,10,3.9
"2016",5,17,11,5.1
"2016",5,17,12,5.6
"2016",5,17,13,5.9
"2016",5,17,14,5.6
"2016",5,17,15,5
"2016",5,17,16,4.7
"2016",5,17,17,3.4
"2016",5,17,18,0.6
"2016",5,17,19,0
"2016",5,17,20,0
"2016",5,17,21,0
"2016",5,17,22,0
"2016",5,17,23,0
"2016",5,17,24,0
"2016",5,18,1,0
"2016",5,18,2,0
"2016",5,18,3,0
"2016",5,18,4,0
"2016",5,18,5,0
"2016",5,18,6,0
"2016",5,18,7,0
"2016",5,18,8,0
"2016",5,18,9,1.3
"2016",5,18,10,4.8
"2016",5,18,11,5.4
"2016",5,18,12,5.7
"2016",5,18,13,6.1
"2016",5,18,14,6.1
"2016",5,18,15,6
"2016",5,18,16,5.9
"2016",5,18,17,4.3
"2016",5,18,18,0.6
"2016",5,18,19,0
"2016",5,18,20,0
"2016",5,18,21,0
"2016",5,18,22,0
"2016",5,18,23,0
"2016",5,18,24,0
"2016",5,19,1,0
"2016",5,19,2,0
"2016",5,19,3,0
"2016",5,19,4,0
"2016",5,19,5,0
"2016",5,19,6,0
"2016",5,19,7,0
"2016",5,19,8,0.1
"2016",5,19,9,1.5
"2016",5,19,10,4.5
"2016",5,19,11,5.6
"2016",5,19,12,5.9
"2016",5,19,13,6.3
"2016",5,19,14,6.1
"2016",5,19,15,6.1
"2016",5,19,16,6.4
"2016",5,19,17,2.4
"2016",5,19,18,0.8
"2016",5,19,19,0
"2016",5,19,20,0
"2016",5,19,21,0
"2016",5,19,22,0
"2016",5,19,23,0
"2016",5,19,24,0
"2016",5,20,1,0
"2016",5,20,2,0
"2016",5,20,3,0
"2016",5,20,4,0
"2016",5,20,5,0
"2016",5,20,6,0
"2016",5,20,7,0
"2016",5,20,8,0.2
"2016",5,20,9,1.9
"2016",5,20,10,7
"2016",5,20,11,8.5
"2016",5,20,12,8.2
"2016",5,20,13,8.8
"2016",5,20,14,9.3
"2016",5,20,15,8.2
"2016",5,20,16,7.2
"2016",5,20,17,4.2
"2016",5,20,18,1.7
"2016",5,20,19,0
"2016",5,20,20,0
"2016",5,20,21,0
"2016",5,20,22,0
"2016",5,20,23,0
"2016",5,20,24,0
"2016",5,21,1,0
"2016",5,21,2,0
"2016",5,21,3,0
"2016",5,21,4,0
"2016",5,21,5,0
"2016",5,21,6,0
"2016",5,21,7,0
"2016",5,21,8,0.2
"2016",5,21,9,3
"2016",5,21,10,10.2
"2016",5,21,11,12.3
"2016",5,21,12,14.2
"2016",5,21,13,15.1
"2016",5,21,14,15
"2016",5,21,15,14.4
"2016",5,21,16,13.8
"2016",5,21,17,9.8
"2016",5,21,18,1.9
"2016",5,21,19,0
"2016",5,21,20,0
"2016",5,21,21,0
"2016",5,21,22,0
"2016",5,21,23,0
"2016",5,21,24,0
"2016",5,22,1,0
"2016",5,22,2,0
"2016",5,22,3,0
"2016",5,22,4,0
"2016",5,22,5,0
"2016",5,22,6,0
"2016",5,22,7,0
"2016",5,22,8,0.3
"2016",5,22,9,4.6
"2016",5,22,10,14.8
"2016",5,22,11,18.2
"2016",5,22,12,20.4
"2016",5,22,13,22.5
"2016",5,22,14,22.9
"2016",5,22,15,20.8
"2016",5,22,16,17.1
"2016",5,22,17,10.9
"2016",5,22,18,1.5
"2016",5,22,19,0
"2016",5,22,20,0
"2016",5,22,21,0
"2016",5,22,22,0
"2016",5,22,23,0
"2016",5,22,24,0
"2016",5,23,1,0
"2016",5,23,2,0
"2016",5,23,3,0
"2016",5,23,4,0
"2016",5,23,5,0
"2016",5,23,6,0
"2016",5,23,7,0
"2016",5,23,8,0.8
"2016",5,23,9,6.1
"2016",5,23,10,16
"2016",5,23,11,19.3
"2016",5,23,12,24
"2016",5,23,13,24.2
"2016",5,23,14,21.6
"2016",5,23,15,18.5
"2016",5,23,16,16.9
"2016",5,23,17,11.7
"2016",5,23,18,2.2
"2016",5,23,19,0
"2016",5,23,20,0
"2016",5,23,21,0
"2016",5,23,22,0
"2016",5,23,23,0
"2016",5,23,24,0
"2016",5,24,1,0
"2016",5,24,2,0
"2016",5,24,3,0
"2016",5,24,4,0
"2016",5,24,5,0
"2016",5,24,6,0
"2016",5,24,7,0
"2016",5,24,8,0.8
"2016",5,24,9,6.6
"2016",5,24,10,16.7
"2016",5,24,11,18.3
"2016",5,24,12,17.5
"2016",5,24,13,21.3
"2016",5,24,14,22.3
"2016",5,24,15,20.3
"2016",5,24,16,18
"2016",5,24,17,12
"2016",5,24,18,2
"2016",5,24,19,0
"2016",5,24,20,0
"2016",5,24,21,0
"2016",5,24,22,0
"2016",5,24,23,0
"2016",5,24,24,0
"2016",5,25,1,0
"2016",5,25,2,0
"2016",5,25,3,0
"2016",5,25,4,0
"2016",5,25,5,0
"2016",5,25,6,0
"2016",5,25,7,0
"2016",5,25,8,0.47
"2016",5,25,9,5.42
"2016",5,25,10,13.57
"2016",5,25,11,15.78
"2016",5,25,12,16.2
"2016",5,25,13,18.72
"2016",5,25,14,16.6
"2016",5,25,15,14.39
"2016",5,25,16,10.76
"2016",5,25,17,6.88
"2016",5,25,18,1.28
"2016",5,25,19,0
"2016",5,25,20,0
"2016",5,25,21,0
"2016",5,25,22,0
"2016",5,25,23,0
"2016",5,25,24,0
"2016",5,26,1,0
"2016",5,26,2,0
"2016",5,26,3,0
"2016",5,26,4,0
"2016",5,26,5,0
"2016",5,26,6,0
"2016",5,26,7,0
"2016",5,26,8,0.3
"2016",5,26,9,4.6
"2016",5,26,10,16.5
"2016",5,26,11,21.4
"2016",5,26,12,24
