"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.0494349931056301
7,1,1,65.0514995704095
8,1,1,273.191529883279
9,1,1,508.979483710395
10,1,1,720.361400180393
11,1,1,891.08474222819
12,1,1,1006.34125094944
13,1,1,1024.46901914808
14,1,1,1030.27004623413
15,1,1,952.536421034071
16,1,1,770.248526467217
17,1,1,597.37639342414
18,1,1,365.981653107537
19,1,1,153.913619359334
20,1,1,11.8635925882392
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0.0282727437507775
7,2,1,56.719210298111
8,2,1,213.490189645025
9,2,1,457.013442224926
10,2,1,695.726842244466
11,2,1,888.519140455458
12,2,1,1004.13672807482
13,2,1,1047.62388695611
14,2,1,1022.27326117622
15,2,1,951.689652336968
16,2,1,805.811036851671
17,2,1,598.617298973931
18,2,1,386.918317159017
19,2,1,159.927507506477
20,2,1,12.0415551993582
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0.00751272569565723
7,3,1,51.3724601136314
8,3,1,223.148776027891
9,3,1,422.651622653008
10,3,1,614.325245486365
11,3,1,820.626937548319
12,3,1,968.602829615275
13,3,1,1008.24876191881
14,3,1,1001.24921713935
15,3,1,922.998556349013
16,3,1,804.410710652669
17,3,1,598.167670779758
18,3,1,360.174535539415
19,3,1,149.296854085392
20,3,1,12.1417255478817
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,41.7645226781153
8,4,1,161.211333443721
9,4,1,344.922879219055
10,4,1,584.704123708937
11,4,1,829.008486005995
12,4,1,946.507773929172
13,4,1,962.37421491411
14,4,1,1014.8804037306
15,4,1,948.144423590766
16,4,1,795.706732855903
17,4,1,595.527024798923
18,4,1,358.961719989777
19,4,1,136.520792550511
20,4,1,11.2979970581364
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,36.232891647766
8,5,1,155.102211336295
9,5,1,334.38500310315
10,5,1,571.573150369856
11,5,1,811.068129565981
12,5,1,891.92783331871
13,5,1,904.954297701518
14,5,1,979.953409406874
15,5,1,905.441957685682
16,5,1,803.286073472765
17,5,1,610.351273006863
18,5,1,379.403818209966
19,5,1,137.349876918726
20,5,1,12.36028720573
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,36.4917339418704
8,6,1,174.53317826324
9,6,1,362.020683500502
10,6,1,598.255004088084
11,6,1,803.512018733554
12,6,1,930.825431399875
13,6,1,1025.14274258084
14,6,1,1030.92658487956
15,6,1,947.618060641819
16,6,1,803.531617058648
17,6,1,610.734647538927
18,6,1,387.066766950819
19,6,1,160.655714882745
20,6,1,12.4369820728381
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,34.9779331477152
8,7,1,143.171607693036
9,7,1,420.923271709018
10,7,1,662.909183502197
11,7,1,873.902406480577
12,7,1,991.846918741862
13,7,1,1045.28790283203
14,7,1,1029.93798065186
15,7,1,946.974960327148
16,7,1,803.110816955566
17,7,1,610.416444566515
18,7,1,367.408232212067
19,7,1,160.403183513217
20,7,1,12.4304806543773
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,47.2651685662568
8,8,1,216.553090466393
9,8,1,432.591963026259
10,8,1,646.189441495472
11,8,1,835.03818236457
12,8,1,990.97481197781
13,8,1,1015.74509429932
14,8,1,1022.94300248888
15,8,1,947.719807094998
16,8,1,780.162057876587
17,8,1,611.435672336155
18,8,1,361.520269685321
19,8,1,137.034743047423
20,8,1,10.833012041791
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,50.116226149516
8,9,1,207.199007590612
9,9,1,393.67118551996
10,9,1,604.849320729574
11,9,1,818.086494551765
12,9,1,982.968531714545
13,9,1,987.505274878608
14,9,1,997.214455922445
15,9,1,949.092265658908
16,9,1,747.671051025391
17,9,1,586.093344158596
18,9,1,362.450281275643
19,9,1,137.734571143985
20,9,1,12.0684849790608
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,40.3338507326941
8,10,1,208.659265432093
9,10,1,416.510279496511
10,10,1,670.31806924608
11,10,1,871.609884474013
12,10,1,991.574987623427
13,10,1,1004.48337088691
14,10,1,979.814618004693
15,10,1,902.641241285536
16,10,1,753.983760197957
17,10,1,576.000289916992
18,10,1,365.306020021439
19,10,1,142.237307561768
20,10,1,12.887333945009
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,45.2059158357895
8,11,1,192.582260251045
9,11,1,381.98094786538
10,11,1,652.440008481344
11,11,1,834.041589948866
12,11,1,899.022185206413
13,11,1,967.17957648966
14,11,1,1005.97842449612
15,11,1,949.535798814562
16,11,1,806.387070549859
17,11,1,597.832138273451
18,11,1,385.777635468377
19,11,1,149.777065336704
20,11,1,12.7595942750987
