"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,43.8788088471111
8,1,1,224.463152229786
9,1,1,463.122272120582
10,1,1,698.400577969021
11,1,1,871.925553215875
12,1,1,988.212254842122
13,1,1,984.462466398875
14,1,1,989.318598588308
15,1,1,925.480125427246
16,1,1,773.092657301161
17,1,1,572.055506388346
18,1,1,342.006223254734
19,1,1,113.014278213183
20,1,1,3.01090622941653
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,40.4613196378858
8,2,1,195.775606559383
9,2,1,408.219017929501
10,2,1,637.728418774075
11,2,1,787.787516699897
12,2,1,874.755969789293
13,2,1,1010.5510658688
14,2,1,1014.17542860243
15,2,1,923.972848680284
16,2,1,772.000459459093
17,2,1,571.340731302897
18,2,1,338.535262213813
19,2,1,112.214348210229
20,2,1,3.06679113043679
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,44.0833784485391
8,3,1,230.441148810916
9,3,1,460.439074251387
10,3,1,689.755008273655
11,3,1,863.608360290527
12,3,1,980.527715047201
13,3,1,1030.75859069824
14,3,1,1010.20466868083
15,3,1,860.188164896435
16,3,1,713.615654680464
17,3,1,529.128320323096
18,3,1,306.42306945059
19,3,1,86.6316220064958
20,3,1,3.06444900400109
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,38.1844245420976
8,4,1,191.053112990326
9,4,1,422.322791947259
10,4,1,675.368178685506
11,4,1,840.818072636922
12,4,1,929.393659379747
13,4,1,983.326659149594
14,4,1,1005.13355085585
15,4,1,906.565880881416
16,4,1,703.63698164622
17,4,1,485.128740681542
18,4,1,293.592238969273
19,4,1,98.1951385753022
20,4,1,3.01415853699048
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,26.7184113425513
8,5,1,163.384060468939
9,5,1,443.987813403209
10,5,1,671.415330674913
11,5,1,757.722806930542
12,5,1,820.026145193312
13,5,1,950.503092130025
14,5,1,797.655420819918
15,5,1,754.145211246279
16,5,1,703.607007066409
17,5,1,566.31273651123
18,5,1,320.399463494619
19,5,1,115.550143135919
20,5,1,3.09066315491994
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,38.2607841605598
8,6,1,208.642448686891
9,6,1,447.998899035984
10,6,1,677.997686598036
11,6,1,853.190263536241
12,6,1,971.81428443061
13,6,1,980.878963258531
14,6,1,961.836146884494
15,6,1,917.079229566786
16,6,1,766.987410651313
17,6,1,567.887676662869
18,6,1,333.408364978102
19,6,1,99.0099863327212
20,6,1,3.18816779057185
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,31.8365552400549
8,7,1,209.696427313818
9,7,1,450.478552235497
10,7,1,676.963195800781
11,7,1,852.757713317871
12,7,1,971.9970703125
13,7,1,1024.6465572781
14,7,1,1006.40489874946
15,7,1,918.738004896376
16,7,1,768.887444390191
17,7,1,569.851212819417
18,7,1,317.640035377608
19,7,1,96.811425405244
20,7,1,3.30844046341048
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,34.6385777141485
8,8,1,216.405692093902
9,8,1,458.147805955675
10,8,1,674.666441175673
11,8,1,850.78891160753
12,8,1,970.40454864502
13,8,1,1023.45244428847
14,8,1,986.792981465658
15,8,1,886.471607314216
16,8,1,681.034864531623
17,8,1,528.448607709673
18,8,1,293.188088655472
19,8,1,94.8764495332208
20,8,1,3.09973784836216
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,32.7462946296566
8,9,1,204.801908320851
9,9,1,450.404068258074
10,9,1,671.930987040202
11,9,1,848.542644076877
12,9,1,934.352830251058
13,9,1,945.711516274346
14,9,1,960.879017300076
15,9,1,918.138671875
16,9,1,768.867056952583
17,9,1,531.292726622687
18,9,1,304.964931117164
19,9,1,90.4286346526609
20,9,1,3.39709208491776
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,32.4295974026124
8,10,1,187.035204617514
9,10,1,434.178135580487
10,10,1,671.545610215929
11,10,1,829.953961478339
12,10,1,913.694820827908
13,10,1,925.919311735365
14,10,1,966.870172924466
15,10,1,886.573098924425
16,10,1,659.266626252068
17,10,1,531.197394953834
18,10,1,295.994371937381
19,10,1,96.6651571707593
20,10,1,3.52915022273858
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,27.3868152454702
8,11,1,186.673849364122
9,11,1,406.487165504032
10,11,1,660.566552903917
11,11,1,829.045673370361
12,11,1,900.491141637166
13,11,1,1000.4860607783
14,11,1,1010.21821509467
15,11,1,924.020241631402
16,11,1,734.017561276754
17,11,1,548.664010365804
18,11,1,326.416894601451
19,11,1,109.438399538398
20,11,1,3.65551789767212
21,11,1,0
22,11,1,0
