"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,1.34057694249269
7,1,1,75.5278308461938
8,1,1,238.970295800103
9,1,1,414.132540808784
10,1,1,574.724725087484
11,1,1,704.861054314507
12,1,1,793.389154222276
13,1,1,833.066357930501
14,1,1,820.75010172526
15,1,1,757.403200785319
16,1,1,648.067038642036
17,1,1,501.855855729845
18,1,1,328.589347998301
19,1,1,152.019845816824
20,1,1,23.7464064889484
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,1.24568245332274
7,2,1,73.0059693157673
8,2,1,221.587073147297
9,2,1,410.827984703912
10,2,1,576.009455786811
11,2,1,706.864094204373
12,2,1,796.041532728407
13,2,1,836.273041619195
14,2,1,824.365691290961
15,2,1,761.270645141602
16,2,1,618.969033771091
17,2,1,472.034814940559
18,2,1,310.980736705992
19,2,1,157.071425384945
20,2,1,24.5100664132171
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,1.23135588007669
7,3,1,74.640778488583
8,3,1,238.088329739041
9,3,1,414.408663855659
10,3,1,576.188545650906
11,3,1,707.492000155979
12,3,1,797.068728129069
13,3,1,837.642575581869
14,3,1,825.98200056288
15,3,1,763.03598107232
16,3,1,653.763844807943
17,3,1,484.191797468397
18,3,1,331.562855243683
19,3,1,158.552493194739
20,3,1,21.8174372563759
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0.914365872740746
7,4,1,61.2808855861011
8,4,1,199.170075154967
9,4,1,359.019561131795
10,4,1,532.021345615387
11,4,1,655.066668563419
12,4,1,778.066585752699
13,4,1,829.599700503879
14,4,1,780.876513163249
15,4,1,728.833220375909
16,4,1,633.929825676812
17,4,1,507.483299255371
18,4,1,301.576668792301
19,4,1,149.961740526888
20,4,1,24.9878045568864
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0.915407492520495
7,5,1,69.286018676228
8,5,1,216.438985996776
9,5,1,405.924430847168
10,5,1,554.654593149821
11,5,1,703.802453782823
12,5,1,794.060473971897
13,5,1,835.356691148546
14,5,1,824.386868794759
15,5,1,762.065236409505
16,5,1,653.287693447537
17,5,1,486.846583684285
18,5,1,313.27612625228
19,5,1,148.556601943241
20,5,1,23.0273266894122
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0.687588752751859
7,6,1,65.2520099425067
8,6,1,223.973071098328
9,6,1,398.421832720439
10,6,1,552.177869796753
11,6,1,653.090828683641
12,6,1,740.958589341905
13,6,1,790.583183500502
14,6,1,824.664069281684
15,6,1,712.564958678352
16,6,1,601.124027993944
17,6,1,438.121844198969
18,6,1,296.616124007437
19,6,1,138.282498452398
20,6,1,23.3857851936999
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0.480536713652934
7,7,1,56.386099467054
8,7,1,201.531728419993
9,7,1,366.786810927921
10,7,1,559.05656698015
11,7,1,702.737735324436
12,7,1,794.011041429308
13,7,1,836.27742767334
14,7,1,813.290475633409
15,7,1,764.564817640516
16,7,1,656.253217909071
17,7,1,510.24068959554
18,7,1,323.165968788995
19,7,1,163.353205786811
20,7,1,25.6342582172818
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0.568656580315696
7,8,1,66.7210183011161
8,8,1,221.867519113753
9,8,1,393.547131856283
10,8,1,569.269705030653
11,8,1,702.484368218316
12,8,1,794.152732849121
13,8,1,836.778831481934
14,8,1,827.005466037326
15,8,1,735.687541749742
16,8,1,612.612387763129
17,8,1,474.182285149892
18,8,1,314.512252489726
19,8,1,151.110244307253
20,8,1,24.2081787668996
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0.469021386570401
7,9,1,60.5440959450271
8,9,1,222.430911223094
9,9,1,385.811348173353
10,9,1,567.816724989149
11,9,1,701.425025939941
12,9,1,793.502173529731
13,9,1,836.518737792969
14,9,1,827.077245076497
15,9,1,765.91165500217
16,9,1,657.864315456814
17,9,1,511.865328894721
18,9,1,340.958704206679
19,9,1,157.034663094415
20,9,1,23.8403032513128
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0.358143960436185
7,10,1,62.9576882256402
8,10,1,223.980943044027
9,10,1,401.355027092828
10,10,1,565.240340762668
11,10,1,683.864932801988
12,10,1,748.264333513048
13,10,1,793.637418323093
14,10,1,813.04691696167
15,10,1,756.965891944038
16,10,1,615.837017377218
17,10,1,496.795597977108
18,10,1,340.040596432156
19,10,1,163.369506835938
20,10,1,25.4478024227752
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0.239449860321151
7,11,1,60.3802712625927
8,11,1,220.182199478149
9,11,1,397.331779903836
10,11,1,561.29522535536
11,11,1,695.459558275011
12,11,1,788.147333780924
13,11,1,831.791062249078
14,11,1,822.91183980306
15,11,1,762.199789259169
16,11,1,654.484466552734
17,11,1,508.695796542698
18,11,1,337.965549892849
