"Year","Month","Day","Hour","Generacion_MWh"
"2015",12,28,1,0
"2015",12,28,2,0
"2015",12,28,3,0
"2015",12,28,4,0
"2015",12,28,5,0
"2015",12,28,6,0
"2015",12,28,7,0
"2015",12,28,8,0
"2015",12,28,9,0.1
"2015",12,28,10,0.9
"2015",12,28,11,0.9
"2015",12,28,12,0.7
"2015",12,28,13,0.6
"2015",12,28,14,3.9
"2015",12,28,15,3.9
"2015",12,28,16,4.7
"2015",12,28,17,6
"2015",12,28,18,4.8
"2015",12,28,19,3
"2015",12,28,20,1.3
"2015",12,28,21,0.1
"2015",12,28,22,0
"2015",12,28,23,0
"2015",12,28,24,0
"2015",12,29,1,0
"2015",12,29,2,0
"2015",12,29,3,0
"2015",12,29,4,0
"2015",12,29,5,0
"2015",12,29,6,0
"2015",12,29,7,0
"2015",12,29,8,0.5
"2015",12,29,9,2.2
"2015",12,29,10,4
"2015",12,29,11,5.6
"2015",12,29,12,8
"2015",12,29,13,10.3
"2015",12,29,14,10.9
"2015",12,29,15,10.6
"2015",12,29,16,7.5
"2015",12,29,17,10.1
"2015",12,29,18,9.1
"2015",12,29,19,3.3
"2015",12,29,20,1.3
"2015",12,29,21,0.1
"2015",12,29,22,0
"2015",12,29,23,0
"2015",12,29,24,0
"2015",12,30,1,0
"2015",12,30,2,0
"2015",12,30,3,0
"2015",12,30,4,0
"2015",12,30,5,0
"2015",12,30,6,0
"2015",12,30,7,0
"2015",12,30,8,0.5
"2015",12,30,9,2.4
"2015",12,30,10,4.6
"2015",12,30,11,11.2
"2015",12,30,12,13.6
"2015",12,30,13,15.2
"2015",12,30,14,15.7
"2015",12,30,15,10.5
"2015",12,30,16,6.8
"2015",12,30,17,6.3
"2015",12,30,18,3.3
"2015",12,30,19,0
"2015",12,30,20,0
"2015",12,30,21,0
"2015",12,30,22,0
"2015",12,30,23,0
"2015",12,30,24,0
"2015",12,31,1,0
"2015",12,31,2,0
"2015",12,31,3,0
"2015",12,31,4,0
"2015",12,31,5,0
"2015",12,31,6,0
"2015",12,31,7,0
"2015",12,31,8,0
"2015",12,31,9,0
"2015",12,31,10,1.4
"2015",12,31,11,2
"2015",12,31,12,2.4
"2015",12,31,13,3.8
"2015",12,31,14,5.6
"2015",12,31,15,5.2
"2015",12,31,16,5
"2015",12,31,17,5.5
"2015",12,31,18,5.9
"2015",12,31,19,5.4
"2015",12,31,20,2.3
"2015",12,31,21,0.2
"2015",12,31,22,0
"2015",12,31,23,0
"2015",12,31,24,0
"2016",1,1,1,0
"2016",1,1,2,0
"2016",1,1,3,0
"2016",1,1,4,0
"2016",1,1,5,0
"2016",1,1,6,0
"2016",1,1,7,0
"2016",1,1,8,0.8
"2016",1,1,9,3.9
"2016",1,1,10,6
"2016",1,1,11,6
"2016",1,1,12,6.5
"2016",1,1,13,6.8
"2016",1,1,14,6
"2016",1,1,15,6
"2016",1,1,16,6
"2016",1,1,17,6
"2016",1,1,18,6
"2016",1,1,19,5.4
"2016",1,1,20,2.3
"2016",1,1,21,0.2
"2016",1,1,22,0
"2016",1,1,23,0
"2016",1,1,24,0
"2016",1,2,1,0
"2016",1,2,2,0
"2016",1,2,3,0
"2016",1,2,4,0
"2016",1,2,5,0
"2016",1,2,6,0
"2016",1,2,7,0
"2016",1,2,8,0.8
"2016",1,2,9,3.9
"2016",1,2,10,6
"2016",1,2,11,6
"2016",1,2,12,6
"2016",1,2,13,6
"2016",1,2,14,6
"2016",1,2,15,6
"2016",1,2,16,6
"2016",1,2,17,6
"2016",1,2,18,6
"2016",1,2,19,5.4
"2016",1,2,20,2.4
"2016",1,2,21,0.2
"2016",1,2,22,0
"2016",1,2,23,0
"2016",1,2,24,0
"2016",1,3,1,0
"2016",1,3,2,0
"2016",1,3,3,0
"2016",1,3,4,0
"2016",1,3,5,0
"2016",1,3,6,0
"2016",1,3,7,0
"2016",1,3,8,0.6
"2016",1,3,9,3.6
"2016",1,3,10,6
"2016",1,3,11,6
"2016",1,3,12,6
"2016",1,3,13,6
"2016",1,3,14,6
"2016",1,3,15,6
"2016",1,3,16,6
"2016",1,3,17,6
"2016",1,3,18,6
"2016",1,3,19,5.4
"2016",1,3,20,2.4
"2016",1,3,21,0.2
"2016",1,3,22,0
"2016",1,3,23,0
"2016",1,3,24,0
"2016",1,4,1,0
"2016",1,4,2,0
"2016",1,4,3,0
"2016",1,4,4,0
"2016",1,4,5,0
"2016",1,4,6,0
"2016",1,4,7,0
"2016",1,4,8,0
"2016",1,4,9,0
"2016",1,4,10,0
"2016",1,4,11,0
"2016",1,4,12,0
"2016",1,4,13,0
"2016",1,4,14,0
"2016",1,4,15,0
"2016",1,4,16,0
"2016",1,4,17,0
"2016",1,4,18,0
"2016",1,4,19,0
"2016",1,4,20,0
"2016",1,4,21,0
"2016",1,4,22,0
"2016",1,4,23,0
"2016",1,4,24,0
"2016",1,5,1,0
"2016",1,5,2,0
"2016",1,5,3,0
"2016",1,5,4,0
"2016",1,5,5,0
"2016",1,5,6,0
"2016",1,5,7,0
"2016",1,5,8,0
"2016",1,5,9,0
"2016",1,5,10,0
"2016",1,5,11,0
"2016",1,5,12,0
"2016",1,5,13,0
"2016",1,5,14,0
"2016",1,5,15,0
"2016",1,5,16,0
"2016",1,5,17,0
"2016",1,5,18,0
"2016",1,5,19,0
"2016",1,5,20,0
"2016",1,5,21,0
"2016",1,5,22,0
"2016",1,5,23,0
"2016",1,5,24,0
"2016",1,6,1,0
"2016",1,6,2,0
"2016",1,6,3,0
"2016",1,6,4,0
"2016",1,6,5,0
"2016",1,6,6,0
"2016",1,6,7,0
"2016",1,6,8,0
"2016",1,6,9,0
"2016",1,6,10,0
"2016",1,6,11,0
"2016",1,6,12,0
"2016",1,6,13,0
"2016",1,6,14,0
"2016",1,6,15,0
"2016",1,6,16,0
"2016",1,6,17,0
"2016",1,6,18,0
"2016",1,6,19,0
"2016",1,6,20,0
"2016",1,6,21,0
"2016",1,6,22,0
"2016",1,6,23,0
"2016",1,6,24,0
"2016",1,7,1,0
"2016",1,7,2,0
"2016",1,7,3,0
"2016",1,7,4,0
"2016",1,7,5,0
"2016",1,7,6,0
"2016",1,7,7,0
"2016",1,7,8,0.7
"2016",1,7,9,3.7
"2016",1,7,10,7.2
"2016",1,7,11,10.2
"2016",1,7,12,10.9
"2016",1,7,13,10.9
"2016",1,7,14,10.9
"2016",1,7,15,10.8
"2016",1,7,16,10.8
"2016",1,7,17,10.8
"2016",1,7,18,9.2
"2016",1,7,19,6
"2016",1,7,20,2.4
"2016",1,7,21,0.2
"2016",1,7,22,0
"2016",1,7,23,0
"2016",1,7,24,0
"2016",1,8,1,0
"2016",1,8,2,0
"2016",1,8,3,0
"2016",1,8,4,0
"2016",1,8,5,0
"2016",1,8,6,0
"2016",1,8,7,0
"2016",1,8,8,0.6
"2016",1,8,9,3.6
"2016",1,8,10,7.2
"2016",1,8,11,10.1
"2016",1,8,12,10.9
"2016",1,8,13,10.4
"2016",1,8,14,9
"2016",1,8,15,9
"2016",1,8,16,9
"2016",1,8,17,9
"2016",1,8,18,7.7
"2016",1,8,19,5
"2016",1,8,20,2.1
"2016",1,8,21,0.2
"2016",1,8,22,0
"2016",1,8,23,0
"2016",1,8,24,0
"2016",1,9,1,0
"2016",1,9,2,0
"2016",1,9,3,0
"2016",1,9,4,0
"2016",1,9,5,0
"2016",1,9,6,0
"2016",1,9,7,0
"2016",1,9,8,0.6
"2016",1,9,9,3.6
"2016",1,9,10,7.1
"2016",1,9,11,9.9
"2016",1,9,12,10.9
"2016",1,9,13,10.8
"2016",1,9,14,10.8
"2016",1,9,15,10.8
"2016",1,9,16,10.8
"2016",1,9,17,9.8
"2016",1,9,18,7.6
"2016",1,9,19,5
"2016",1,9,20,2.4
"2016",1,9,21,0.2
"2016",1,9,22,0
"2016",1,9,23,0
"2016",1,9,24,0
"2016",1,10,1,0
"2016",1,10,2,0
"2016",1,10,3,0
"2016",1,10,4,0
"2016",1,10,5,0
"2016",1,10,6,0
"2016",1,10,7,0
"2016",1,10,8,0.6
"2016",1,10,9,3.5
"2016",1,10,10,7.1
"2016",1,10,11,9.9
"2016",1,10,12,10.9
"2016",1,10,13,10.8
"2016",1,10,14,10.8
"2016",1,10,15,10.8
"2016",1,10,16,10.8
"2016",1,10,17,10.7
"2016",1,10,18,9.2
"2016",1,10,19,6
"2016",1,10,20,2.4
"2016",1,10,21,0.2
"2016",1,10,22,0
"2016",1,10,23,0
"2016",1,10,24,0
"2016",1,11,1,0
"2016",1,11,2,0
"2016",1,11,3,0
"2016",1,11,4,0
"2016",1,11,5,0
"2016",1,11,6,0
"2016",1,11,7,0
"2016",1,11,8,0.6
"2016",1,11,9,3.5
"2016",1,11,10,6.3
"2016",1,11,11,8.2
"2016",1,11,12,10
"2016",1,11,13,9.3
"2016",1,11,14,10.7
"2016",1,11,15,10.8
"2016",1,11,16,10.8
"2016",1,11,17,10.8
"2016",1,11,18,9.3
"2016",1,11,19,6
"2016",1,11,20,2.5
"2016",1,11,21,0.2
"2016",1,11,22,0
"2016",1,11,23,0
"2016",1,11,24,0
"2016",1,12,1,0
"2016",1,12,2,0
"2016",1,12,3,0
"2016",1,12,4,0
"2016",1,12,5,0
"2016",1,12,6,0
"2016",1,12,7,0
"2016",1,12,8,0.5
"2016",1,12,9,3.5
"2016",1,12,10,7
"2016",1,12,11,10.1
"2016",1,12,12,10.9
"2016",1,12,13,10.6
"2016",1,12,14,10.7
"2016",1,12,15,10.8
"2016",1,12,16,10.8
"2016",1,12,17,10.8
"2016",1,12,18,8.2
"2016",1,12,19,5.6
"2016",1,12,20,3.1
"2016",1,12,21,0.3
"2016",1,12,22,0
"2016",1,12,23,0
"2016",1,12,24,0
"2016",1,13,1,0
"2016",1,13,2,0
"2016",1,13,3,0
"2016",1,13,4,0
"2016",1,13,5,0
"2016",1,13,6,0
"2016",1,13,7,0
"2016",1,13,8,0.3
"2016",1,13,9,1.7
"2016",1,13,10,6.2
"2016",1,13,11,9.8
"2016",1,13,12,10.9
"2016",1,13,13,10.8
"2016",1,13,14,8.2
"2016",1,13,15,6.2
"2016",1,13,16,6.3
"2016",1,13,17,6.9
"2016",1,13,18,7.2
"2016",1,13,19,5.3
"2016",1,13,20,2
"2016",1,13,21,0.2
"2016",1,13,22,0
"2016",1,13,23,0
"2016",1,13,24,0
"2016",1,14,1,0
"2016",1,14,2,0
"2016",1,14,3,0
"2016",1,14,4,0
"2016",1,14,5,0
"2016",1,14,6,0
"2016",1,14,7,0
"2016",1,14,8,0.5
"2016",1,14,9,3.1
"2016",1,14,10,6.3
"2016",1,14,11,7.2
"2016",1,14,12,7.2
"2016",1,14,13,7.2
"2016",1,14,14,6.9
"2016",1,14,15,7.1
"2016",1,14,16,6.3
"2016",1,14,17,6.2
"2016",1,14,18,7
"2016",1,14,19,6
"2016",1,14,20,2.7
"2016",1,14,21,0.3
"2016",1,14,22,0
"2016",1,14,23,0
"2016",1,14,24,0
"2016",1,15,1,0
"2016",1,15,2,0
"2016",1,15,3,0
"2016",1,15,4,0
"2016",1,15,5,0
"2016",1,15,6,0
"2016",1,15,7,0
"2016",1,15,8,0.7
"2016",1,15,9,4.6
"2016",1,15,10,6.8
"2016",1,15,11,7.2
"2016",1,15,12,6.6
"2016",1,15,13,6.5
"2016",1,15,14,6.5
"2016",1,15,15,6.6
"2016",1,15,16,6.7
"2016",1,15,17,6.8
"2016",1,15,18,6.4
"2016",1,15,19,5.9
"2016",1,15,20,3.4
"2016",1,15,21,0.3
"2016",1,15,22,0
"2016",1,15,23,0
"2016",1,15,24,0
"2016",1,16,1,0
"2016",1,16,2,0
"2016",1,16,3,0
"2016",1,16,4,0
"2016",1,16,5,0
"2016",1,16,6,0
"2016",1,16,7,0
"2016",1,16,8,0.6
"2016",1,16,9,4.3
"2016",1,16,10,6.5
"2016",1,16,11,6.3
"2016",1,16,12,6.8
"2016",1,16,13,5.8
"2016",1,16,14,5.2
"2016",1,16,15,4.6
"2016",1,16,16,4.9
"2016",1,16,17,4.2
"2016",1,16,18,4.5
"2016",1,16,19,5.2
"2016",1,16,20,2.4
"2016",1,16,21,0.3
"2016",1,16,22,0
"2016",1,16,23,0
"2016",1,16,24,0
"2016",1,17,1,0
"2016",1,17,2,0
