"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0.00236657056908977
7,1,1,45.1879560234439
8,1,1,196.910482327143
9,1,1,456.809626155429
10,1,1,709.843064202203
11,1,1,880.26444583469
12,1,1,995.215586344401
13,1,1,1045.26246473524
14,1,1,1026.40648481581
15,1,1,940.110601637099
16,1,1,793.367174784342
17,1,1,598.578323788113
18,1,1,374.013284895155
19,1,1,148.968617280324
20,1,1,9.50336514247788
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,34.3314585854403
8,2,1,188.19698480765
9,2,1,453.501481480069
10,2,1,706.715459187826
11,2,1,877.363039652506
12,2,1,992.649241977268
13,2,1,1003.63912624783
14,2,1,985.135825263129
15,2,1,932.273879581028
16,2,1,792.6394466824
17,2,1,598.298934512668
18,2,1,374.134212070041
19,2,1,149.367160161336
20,2,1,9.65392718050215
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,35.7467052501937
8,3,1,162.085188315974
9,3,1,358.86085542043
10,3,1,637.484607484606
11,3,1,856.504641638862
12,3,1,942.515496995714
13,3,1,1008.38958740234
14,3,1,1021.98665025499
15,3,1,936.731258816189
16,3,1,791.030318366157
17,3,1,597.21310128106
18,3,1,370.12587208218
19,3,1,137.782607634862
20,3,1,8.94068139191303
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,39.386529718474
8,4,1,171.226834383276
9,4,1,388.821321778827
10,4,1,618.188410361608
11,4,1,810.565086020364
12,4,1,953.637567520142
13,4,1,1030.67805141873
14,4,1,1007.08014594184
15,4,1,880.899516847399
16,4,1,747.383811314901
17,4,1,596.497147878011
18,4,1,369.712973674138
19,4,1,138.192282325692
20,4,1,9.78665574391683
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,26.8953663876487
8,5,1,149.505981253253
9,5,1,343.720468150245
10,5,1,609.937493006388
11,5,1,849.094281726413
12,5,1,966.710697597927
13,5,1,1001.63801998562
14,5,1,981.861997816298
15,5,1,874.138199170431
16,5,1,734.001328335868
17,5,1,551.102271821764
18,5,1,325.950342708164
19,5,1,131.614389066895
20,5,1,8.37139401481383
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,28.2120770606885
8,6,1,155.745532294114
9,6,1,371.636334445741
10,6,1,594.862884892358
11,6,1,808.707682450612
12,6,1,973.610081142849
13,6,1,1035.08656819661
14,6,1,1018.84520806207
15,6,1,935.0586098565
16,6,1,790.540587531196
17,6,1,597.542700449626
18,6,1,370.883237202962
19,6,1,144.514832761553
20,6,1,9.94596193565263
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,28.4310798707108
8,7,1,143.853685167101
9,7,1,434.734085294935
10,7,1,690.62648179796
11,7,1,863.147644890679
12,7,1,980.844212002224
13,7,1,1033.9489847819
14,7,1,1018.16872575548
15,7,1,934.750049167209
16,7,1,790.480155944824
17,7,1,597.614473554823
18,7,1,374.374005211724
19,7,1,150.1195280287
20,7,1,9.99019604921341
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,32.3290446061033
8,8,1,204.845908744468
9,8,1,424.129997544818
10,8,1,634.425546752082
11,8,1,840.851579878065
12,8,1,979.90397728814
13,8,1,1027.03843858507
14,8,1,966.980197058784
15,8,1,902.937117894491
16,8,1,791.373085869683
17,8,1,598.622893863254
18,8,1,375.318332248264
19,8,1,145.126778650615
20,8,1,9.52473549379243
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,43.2818353904618
8,9,1,225.910291022725
9,9,1,438.056363794539
10,9,1,633.438237269719
11,9,1,783.629547119141
12,9,1,941.733009762234
13,9,1,1017.02759467231
14,9,1,1001.83769565158
15,9,1,928.056596544054
16,9,1,763.980780389574
17,9,1,588.41662841373
18,9,1,345.928214298354
19,9,1,125.41827184293
20,9,1,9.75125214209159
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,33.5630204435438
8,10,1,183.246429555946
9,10,1,424.302998330858
10,10,1,686.595965067546
11,10,1,825.196636623806
12,10,1,942.81504673428
13,10,1,1023.85567304823
14,10,1,1021.19577111138
15,10,1,938.873651292589
16,10,1,795.205026414659
17,10,1,591.351196606954
18,10,1,348.836954726113
19,10,1,135.617866694927
20,10,1,10.4380193021562
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,23.818876259501
8,11,1,133.455416159497
9,11,1,373.891189833482
10,11,1,623.290504031711
11,11,1,859.250756157769
12,11,1,979.19867960612
13,11,1,1008.2327202691
14,11,1,989.224081251356
15,11,1,938.331959194607
16,11,1,794.832279629177
17,11,1,602.103632609049
18,11,1,378.297418806288
19,11,1,152.683885362413
20,11,1,10.3917350802157
21,11,1,0
