"año","mes","día","total_baja","descrp"
2016,2,8,8,"Prorrata por Control TX Líneas 220 kV Los Vilos - Las Palmas"
2016,2,13,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  323 MVA a 26 °C con Sol  flujo N>S. "
2016,2,13,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  338 MVA a 25 °C con Sol  flujo N>S. "
2016,2,13,10,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,13,10,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,13,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  353 MVA a 22 °C con Sol  flujo N>S. "
2016,2,14,5,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,5,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,5,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  290 MVA a 33 °C con Sol  flujo N>S. "
2016,2,14,5,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  303 MVA a 31 °C con Sol  flujo N>S. "
2016,2,14,5,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,5,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  343 MVA a 24 °C con Sol  flujo N>S. "
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  . "
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  363 MVA a 25 °C con Sol  flujo N>S. C. Guacolda 1 a 125 MW  por SD5674/2016"
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  368 MVA a 24 °C con Sol  flujo N>S. "
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  368 MVA a 24 °C con Sol  flujo N>S. "
2016,2,18,23,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 21 °C con Sol  flujo N>S. "
2016,2,18,23,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,6,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  363 MVA a 25 °C con Sol  flujo N>S. "
2016,2,19,6,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  363 MVA a 25 °C con Sol  flujo N>S. "
2016,2,19,6,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  348 MVA a 26 °C con Sol  flujo N>S. "
2016,2,19,6,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,6,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,25,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,7,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 22 °C con Sol  flujo N>S. "
2016,4,7,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  . "
2016,4,7,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  . "
2016,4,7,10,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C con Sol  flujo N>S. "
2016,4,9,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,10,13,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 21 °C con Sol  flujo N>S. "
2016,4,10,13,"Redistribución de Potencia Aumento en PE Arrayan -20 MW"
2016,4,10,13,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 21 °C con Sol  flujo N>S. "
2016,4,10,13,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  216 MVA a 26 °C con Sol  flujo N>S. "
2016,4,10,13,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 21 °C con Sol  flujo N>S. "
2016,4,12,8,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA a 20 °C con Sol  flujo N>S. "
2016,4,12,8,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA a 20 °C con Sol  flujo N>S. "
2016,4,12,8,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA a 20 °C con Sol  flujo N>S. "
2016,4,12,8,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA a 20 °C con Sol  flujo N>S. "
2016,4,19,3,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  . "
2016,4,19,3,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 19 °C con Sol  flujo N>S. "
2016,4,25,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,25,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,25,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 21 °C con Sol  flujo N>S. "
2016,4,29,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,29,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,29,0,"Redistribución de Potencia Disminución carga eólica PE Taltal y menor radiación solar. 30 MW"
2016,4,29,0,"Redistribución de Potencia Menor carga eólica en PE Taltal y menor radiación solar 30 MW"
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C con Sol  flujo N>S. "
2016,5,14,32,"Fin prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C"
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 17 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 17 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 17 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 17 °C con Sol  flujo N>S. "
2016,5,14,32,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 17 °C con Sol  flujo N>S. "
2016,5,14,32,"Central sin variación por falta de radiación."
2016,5,14,32,"Central no participa por falta de radiación."
2016,5,19,3,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA  flujo N>S. "
2016,5,20,13,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA  flujo N>S. "
2016,5,20,13,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA  flujo N>S. "
2016,5,20,13,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA  flujo N>S. "
2016,5,20,13,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  350 MVA  flujo N>S. "
2016,5,26,5,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2  se encuentra limitada con trabajos programados SD8358/2016"
2016,5,26,5,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  270 MVA a 17 °C con Sol  flujo N>S. "
2016,5,30,46,"Salida intempestiva por falla en línea de 220 kV Maitencillo - Punta Colorada 1 según IF xxx/2016"
2016,6,2,2,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  . "
2016,6,2,2,"Central sin variación por Líneas 220 kV Maitencillo - P. Colorada 1 y 2"
2016,6,3,0,"Central sin variación por Líneas 220 kV Maitencillo - P. Colorada 1 y 2"
2016,6,3,0,"Central sin variación por Líneas 220 kV Maitencillo - P. Colorada 1 y 2"
2016,6,3,0,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  274 MVA a 16 °C con Sol  flujo N>S. "
2016,6,3,0,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  . "
2016,6,5,30,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  250 MVA a 18 °C con Sol  flujo N>S. "
2016,6,5,30,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  250 MVA a 18 °C con Sol  flujo N>S. "
2016,6,5,30,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2   380 MVA  flujo N>S. "
2016,6,5,30,"Prorrata por Control TX Líneas 220 kV Maitencillo - P. Colorada 1 y 2  265 MVA a 18 °C con Sol  flujo N>S. "
2016,6,5,30,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA  flujo N>S. "
2016,6,5,30,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,6,6,19,"Central sin variación por líneas 220 kV Maitencillo - P. Colorada "
2016,6,6,19,"Central sin variación por líneas 220 kV Maitencillo - P. Colorada "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,6,19,"Prorrata por control transferencia líneas 220 kV Maitencillo - P. Colorada   253 MVA a 20 °C con Sol  flujo N>S. "
2016,6,15,1,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   216 MVA a 26 °C con Sol  flujo N>S. "
