"año","mes","día","total_baja","descrp"
2016,2,2,4,"Central sin variación por Línea 220 kV C. Pinto - San Andrés"
2016,2,2,4,"Redistribución de Potencia Menor carga eólica PE Taltal 35 MW"
2016,2,2,4,"Redistribución de Potencia Menor carga eólica PE Taltal 10 MW"
2016,2,2,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,2,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,2,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,2,4,"Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
2016,2,2,4,"Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
2016,2,3,6,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,3,6,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  241 MVA a 22 °C con Sol  flujo N>S. "
2016,2,3,6,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,6,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,6,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,6,"Redistribución de Potencia disminución en carga eólica de PE Taltal 20 MW"
2016,2,3,6,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,3,6,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,3,6,"Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
2016,2,3,6,"Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
2016,2,3,6,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,3,6,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
2016,2,4,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,4,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,4,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
