"año","mes","día","total_baja","descrp"
2016,2,14,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  290 MVA a 33 °C con Sol  flujo N>S. "
2016,2,14,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  303 MVA a 31 °C con Sol  flujo N>S. "
2016,2,14,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  309 MVA a 30 °C con Sol  flujo N>S. "
2016,2,14,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  309 MVA a 30 °C con Sol  flujo N>S. "
2016,2,16,0,"Según SD5690/2016 Mantenimiento en campo fotovoltaico. Actualizaciones de firmware de Inversores"
2016,2,17,0,"Según SD5691/2016 Mantenimiento en campo fotovoltaico. Actualizaciones de firmware de Inversores"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,0,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  363 MVA a 25 °C con Sol  flujo N>S. C. Guacolda 1 a 125 MW  por SD5674/2016"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,19,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,1,"Redistribución de Potencia Mayor carga Eólica C.PE Taltal -10 MW"
2016,2,19,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,1,"Redistribución de Potencia Mayor carga eólica C.PE Taltal -15 MW"
2016,2,19,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,19,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,20,11,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,20,11,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,20,11,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,20,11,"Redistribución de Potencia  -15 MW"
2016,2,20,11,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,20,11,"Redistribución de Potencia Redistribución ´por C. PE Taltal con mayor carga eólica. -23 MW"
2016,2,22,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,22,3,"Redistribución de Potencia Mayor carga eólica en PE Taltal -30 MW"
2016,2,22,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,23,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,23,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,23,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,23,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,23,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,23,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,23,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,24,14,"Redistribución de Potencia  -18 MW"
2016,2,24,14,"Redistribución de Potencia  -15 MW"
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,24,14,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,24,14,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,24,14,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,25,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,25,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,25,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,25,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,25,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,25,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,25,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,25,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,25,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,25,5,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA flujo N>S. "
2016,2,26,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,26,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,26,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,26,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,26,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,26,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,26,2,"Redistribución de Potencia  -10 MW"
2016,2,26,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,26,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,27,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,27,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,27,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,27,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,27,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,27,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,27,2,"Redistribución de Potencia  -10 MW"
2016,2,27,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,27,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,28,34,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,28,34,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,28,34,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,28,34,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,28,34,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,28,34,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,28,34,"Salida Intempestiva por Falla"
2016,2,28,34,"E/S"
2016,2,29,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,29,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,29,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,29,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,3,1,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,1,0,"Redistribución de Potencia Disponibilidad de carga eólica PE Taltal -15 MW"
2016,3,2,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,2,2,"Redistribución de Potencia Menor carga eólica de C. PE Taltal 15 MW"
2016,3,5,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,5,1,"Redistribución de Potencia Menor recurso eólico PE Taltal 12 MW"
2016,3,6,13,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,6,13,"Redistribución de Potencia Menor recurso eólico PE Taltal. 12 MW"
2016,3,6,13,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,8,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,8,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,8,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,8,0,"Redistribución de Potencia Mayor radiación solar de C.PFV Luz del Norte  15 MW"
2016,3,8,0,"Redistribución de Potencia Menor recurso eólico de C. PE Taltal 18 MW"
2016,3,8,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,9,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,9,4,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,9,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,3,9,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,3,9,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,9,4,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,10,2,"Redistribución de Potencia menor recurso eólico C. PE Taltal 20 MW"
2016,3,10,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,10,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,10,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,10,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,13,3,"Central sin variación por Línea 220 kV  San Andrés - Cardones"
2016,3,13,3,"Prorrata por Control TX Línea 220 kV  San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,3,13,3,"Central sin variación por Línea 220 kV  San Andrés - Cardones"
2016,3,13,3,"Central sin variación por Línea 220 kV  San Andrés - Cardones"
2016,3,13,3,"Redistribución por menor carga eólica C. PE Taltal "
2016,3,13,3,"Redistribución por menor carga eólica C. PE Taltal "
2016,3,13,3,"Redistribución por menor carga eólica C. PE Taltal "
2016,3,13,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
2016,3,13,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
2016,3,15,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,15,0,"Redistribución de Potencia  -40 MW"
2016,3,17,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,19,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,20,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,20,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,21,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,22,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,24,7,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,24,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,3,24,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,24,7,"Redistribución de Potencia Disminución de carga eólica de PE Taltal 30 MW"
2016,3,24,7,"Redistribución de Potencia por Disminucion de carga de PE Taltal   PFV Diego de Almagro  Chañares y Pampa Norte (En Pruebas)                40MW"
2016,3,25,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,25,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,25,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,25,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,26,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,26,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,26,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,26,3,"Redistribución de Potencia Baja carga eolica PE Taltal 30 MW"
2016,3,26,3,"Redistribución de Potencia Baja carga eolica PE Taltal baja carga Chañares y Diego de Almagro 20 MW"
2016,3,26,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,27,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,27,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,27,0,"Redistribución de Potencia Baja carga eólica PE Taltal 20 MW"
2016,3,27,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,27,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,3,27,0,"Redistribución de Potencia  10 MW  menor carga eólica PE Taltal"
2016,3,27,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,28,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
