"año","mes","día","total_baja","descrp"
2016,5,30,23,"Salida intempestiva por falla en línea de 220 kV Maitencillo - Punta Colorada 1 según IF xxx/2016"
2016,7,6,0,"A solicitud del CDC se solicita el retiro por falta de control en la inyección de reactivos."
2016,7,6,0,"Continúa en pruebas. Solucionado falta de control en la inyección de reactivos."
2016,7,26,10,"Fuera de servicio por tyrabajos en S/E Diego de Almagro"
2016,8,11,40,"Inicia Prorrata continúa en pruebas."
2016,8,11,40,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   347 MVA a 21 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   350 MVA a 11 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   350 MVA a 11 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   350 MVA a 11 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   350 MVA a 11 °C con Sol  flujo N>S. "
2016,8,12,71,"Central sin variación por líneas 220 kV Las Palmas-Los Vilos "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,12,71,"Prorrata por control transferencia líneas 220 kV Las Palmas-Los Vilos   380 MVA a 15 °C con Sol  flujo N>S. "
2016,8,13,75,"Prorrata por control transferencia líneas 220 kV Maitencillo-P. Colorada   350 MVA a 10 °C con Sol  flujo N>S. "
